Maui Land & Pineapple PE Ratio Historical Data,Maui Land & Pineapple PE Ratio Historical Data,Maui Land & Pineapple PE Ratio Historical Data,Maui Land & Pineapple PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.15,,0.0
2024-09-30,22.45,$-0.23,0.0
2024-06-30,22.05,$-0.18,0.0
2024-03-31,21.66,$-0.15,0.0
2023-12-31,15.89,$-0.15,0.0
2023-09-30,13.25,$-0.60,0.0
2023-06-30,14.24,$-0.55,0.0
2023-03-31,11.96,$0.05,239.2
2022-12-31,9.42,$0.09,104.67
2022-09-30,9.21,$0.28,32.89
2022-06-30,9.47,$0.28,33.82
2022-03-31,11.11,$-0.16,0.0
2021-12-31,9.96,$-0.18,0.0
2021-09-30,10.36,$0.00,0.0
2021-06-30,10.73,$-0.02,0.0
2021-03-31,11.55,$-0.13,0.0
2020-12-31,11.53,$-0.14,0.0
2020-09-30,10.82,$-0.57,0.0
2020-06-30,11.1,$-0.54,0.0
2020-03-31,10.93,$-0.54,0.0
2019-12-31,11.25,$-0.54,0.0
2019-09-30,10.88,$0.12,90.67
2019-06-30,10.29,$0.03,343.0
2019-03-31,11.43,$0.01,1143.0
2018-12-31,9.92,$0.02,496.0
2018-09-30,12.8,$-0.22,0.0
2018-06-30,11.2,$-0.16,0.0
2018-03-31,11.65,$0.21,55.48
2017-12-31,17.3,$0.57,30.35
2017-09-30,13.95,$1.01,13.81
2017-06-30,20.3,$1.17,17.35
2017-03-31,11.75,$1.54,7.63
2016-12-31,7.2,$1.16,6.21
2016-09-30,6.64,$0.72,9.22
2016-06-30,7.22,$1.10,6.56
2016-03-31,5.85,$0.35,16.71
2015-12-31,5.46,$0.36,15.17
2015-09-30,5.27,$1.41,3.74
2015-06-30,5.68,$0.86,6.6
2015-03-31,5.91,$0.93,6.35
2014-12-31,6.05,$0.94,6.44
2014-09-30,5.7,$-0.06,0.0
2014-06-30,6.86,$-0.10,0.0
2014-03-31,6.42,$-0.09,0.0
2013-12-31,6.09,$-0.14,0.0
2013-09-30,4.04,$-0.14,0.0
2013-06-30,4.06,$-0.15,0.0
2013-03-31,4.02,$-0.25,0.0
2012-12-31,4.15,$-0.16,0.0
2012-09-30,2.3,$-0.35,0.0
2012-06-30,3.84,$-0.33,0.0
2012-03-31,4.03,$-0.40,0.0
2011-12-31,4.17,$0.28,14.89
2011-09-30,4.4,$0.47,9.36
2011-06-30,5.04,$1.89,2.67
2011-03-31,5.7,$1.45,3.93
2010-12-31,4.98,$0.45,11.07
2010-09-30,4.63,$-3.31,0.0
2010-06-30,3.73,$-7.83,0.0
2010-03-31,6.24,$-14.01,0.0
2009-12-31,5.55,$-15.33,0.0
