Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.88,,21.77
2024-12-31,51.36,$1.97,26.07
2024-09-30,50.14,$2.02,24.82
2024-06-30,43.85,$2.14,20.49
2024-03-31,51.01,$2.07,24.64
2023-12-31,48.37,$1.60,30.23
2023-09-30,44.87,$0.88,50.99
2023-06-30,56.58,$0.07,808.29
2023-03-31,56.04,$-0.72,0.0
2022-12-31,46.89,$2.40,19.54
2022-09-30,36.6,$2.45,14.94
2022-06-30,32.77,$2.28,14.37
2022-03-31,37.92,$2.41,15.73
2021-12-31,36.72,$-1.26,0.0
2021-09-30,35.7,$-1.48,0.0
2021-06-30,51.4,$-1.74,0.0
2021-03-31,59.27,$-2.56,0.0
2020-12-31,58.14,$-2.20,0.0
2020-09-30,45.52,$-0.99,0.0
2020-06-30,44.43,$0.44,100.97
2020-03-31,41.43,$2.75,15.07
2019-12-31,66.07,$3.50,18.88
2019-09-30,54.66,$2.46,22.22
2019-06-30,55.2,$2.50,22.08
2019-03-31,56.22,$1.96,28.68
2018-12-31,47.39,$3.05,15.54
2018-09-30,53.25,$4.80,11.09
2018-06-30,67.7,$4.79,14.13
2018-03-31,63.15,$4.78,13.21
2017-12-31,60.41,$3.54,17.07
2017-09-30,55.21,$2.65,20.83
2017-06-30,54.35,$2.58,21.07
2017-03-31,48.01,$2.30,20.87
2016-12-31,44.35,$2.10,21.12
2016-09-30,47.16,$2.05,23.01
2016-06-30,35.19,$2.05,17.17
2016-03-31,41.15,$2.23,18.45
2015-12-31,34.45,$2.47,13.95
2015-09-30,29.38,$2.78,10.57
2015-06-30,40.1,$2.96,13.55
2015-03-31,41.48,$3.20,12.96
2014-12-31,43.33,$3.51,12.35
2014-09-30,45.92,$3.31,13.87
2014-06-30,55.82,$3.24,17.23
2014-03-31,58.77,$3.05,19.27
2013-12-31,57.03,$2.79,20.44
2013-09-30,47.81,$2.62,18.25
2013-06-30,37.9,$2.28,16.62
2013-03-31,40.1,$1.93,20.78
2012-12-31,32.63,$1.85,17.64
2012-09-30,30.68,$1.71,17.94
2012-06-30,28.62,$1.73,16.54
2012-03-31,37.68,$1.89,19.93
2011-12-31,27.84,$1.56,17.85
2011-09-30,24.98,$1.51,16.54
2011-06-30,27.5,$1.28,21.49
2011-03-31,27.51,$0.82,33.55
2010-12-31,29.94,$0.50,59.88
2010-09-30,22.71,$-0.01,0.0
2010-06-30,14.43,$-0.38,0.0
2010-03-31,13.78,$-0.71,0.0
2009-12-31,9.73,$-0.81,0.0
