Universal Security Instruments PE Ratio Historical Data,Universal Security Instruments PE Ratio Historical Data,Universal Security Instruments PE Ratio Historical Data,Universal Security Instruments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.82,,0.0
2024-12-31,2.37,$-0.56,0.0
2024-09-30,1.16,$-0.11,0.0
2024-06-30,1.61,$-0.44,0.0
2024-03-31,1.59,$-0.18,0.0
2023-12-31,1.66,$0.15,11.07
2023-09-30,2.4,$0.26,9.21
2023-06-30,2.36,$0.43,5.49
2023-03-31,2.32,$0.31,7.48
2022-12-31,2.03,$0.09,22.56
2022-09-30,3.86,$-0.04,0.0
2022-06-30,3.62,$-0.08,0.0
2022-03-31,4.25,$-0.02,0.0
2021-12-31,3.4,$-0.11,0.0
2021-09-30,5.54,$-0.10,0.0
2021-06-30,8.4,$0.16,52.5
2021-03-31,6.75,$0.12,56.25
2020-12-31,5.01,$-1.20,0.0
2020-09-30,1.9,$-1.67,0.0
2020-06-30,0.79,$-2.28,0.0
2020-03-31,0.38,$-2.51,0.0
2019-12-31,0.62,$-1.12,0.0
2019-09-30,0.85,$-0.90,0.0
2019-06-30,1.22,$-0.65,0.0
2019-03-31,1.34,$-0.58,0.0
2018-12-31,1.06,$-0.69,0.0
2018-09-30,1.2,$-0.91,0.0
2018-06-30,1.15,$-0.93,0.0
2018-03-31,1.41,$-0.98,0.0
2017-12-31,1.7,$-1.21,0.0
2017-09-30,1.75,$-1.01,0.0
2017-06-30,2.8,$-0.97,0.0
2017-03-31,2.95,$-0.90,0.0
2016-12-31,3.9,$-0.78,0.0
2016-09-30,3.8,$-0.62,0.0
2016-06-30,3.55,$-0.77,0.0
2016-03-31,4.12,$-0.94,0.0
2015-12-31,4.48,$-0.92,0.0
2015-09-30,5.5,$-1.27,0.0
2015-06-30,6.04,$-1.50,0.0
2015-03-31,5.73,$-1.48,0.0
2014-12-31,6.0,$-1.81,0.0
2014-09-30,4.59,$-1.54,0.0
2014-06-30,4.55,$-2.25,0.0
2014-03-31,4.47,$-1.94,0.0
2013-12-31,4.33,$-1.25,0.0
2013-09-30,4.9,$-1.08,0.0
2013-06-30,5.4,$-0.05,0.0
2013-03-31,4.35,$-0.20,0.0
2012-12-31,4.35,$-0.35,0.0
2012-09-30,4.4,$-0.33,0.0
2012-06-30,5.09,$-0.37,0.0
2012-03-31,5.38,$-0.21,0.0
2011-12-31,5.28,0,0.0
2011-09-30,5.49,$-0.02,0.0
2011-06-30,6.85,$0.22,31.14
2011-03-31,7.56,$0.34,22.24
2010-12-31,7.44,$0.44,16.91
2010-09-30,6.13,$0.54,11.35
2010-06-30,5.95,$0.82,7.26
2010-03-31,6.41,$0.95,6.75
2009-12-31,5.25,$0.78,6.73
