OptimizeRx PE Ratio Historical Data,OptimizeRx PE Ratio Historical Data,OptimizeRx PE Ratio Historical Data,OptimizeRx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.79,,0.0
2024-12-31,4.86,$-1.10,0.0
2024-09-30,7.72,$-1.33,0.0
2024-06-30,10.0,$-1.00,0.0
2024-03-31,12.15,$-1.02,0.0
2023-12-31,14.31,$-1.01,0.0
2023-09-30,7.78,$-0.80,0.0
2023-06-30,14.29,$-0.82,0.0
2023-03-31,14.63,$-0.79,0.0
2022-12-31,16.8,$-0.63,0.0
2022-09-30,14.82,$-0.58,0.0
2022-06-30,27.39,$-0.39,0.0
2022-03-31,37.71,$-0.16,0.0
2021-12-31,62.11,$0.09,690.11
2021-09-30,85.55,$0.14,611.07
2021-06-30,61.9,$0.12,515.83
2021-03-31,48.75,$0.03,1625.0
2020-12-31,31.16,$-0.16,0.0
2020-09-30,20.85,$-0.38,0.0
2020-06-30,13.03,$-0.47,0.0
2020-03-31,9.06,$-0.37,0.0
2019-12-31,10.27,$-0.22,0.0
2019-09-30,14.48,$-0.09,0.0
2019-06-30,16.2,$0.04,405.0
2019-03-31,12.72,$0.03,424.0
