StealthGas PE Ratio Historical Data,StealthGas PE Ratio Historical Data,StealthGas PE Ratio Historical Data,StealthGas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.88,,3.32
2024-09-30,6.81,$1.77,3.85
2024-06-30,7.35,$1.85,3.97
2024-03-31,5.94,$1.42,4.18
2023-12-31,6.46,$1.37,4.72
2023-09-30,5.04,$1.32,3.81
2023-06-30,4.26,$1.09,3.91
2023-03-31,2.61,$1.14,2.29
2022-12-31,2.68,$0.90,2.98
2022-09-30,2.56,$-0.32,0.0
2022-06-30,3.21,$-0.47,0.0
2022-03-31,2.4,$-0.75,0.0
2021-12-31,2.11,$-0.93,0.0
2021-09-30,2.41,$0.07,34.44
2021-06-30,2.53,$0.06,42.13
2021-03-31,2.55,$0.25,10.22
2020-12-31,2.11,$0.31,6.82
2020-09-30,2.67,$0.34,7.86
2020-06-30,2.47,$0.31,7.98
2020-03-31,1.77,$0.08,22.15
2019-12-31,3.09,$0.05,61.71
2019-09-30,2.73,$-0.09,0.0
2019-06-30,3.09,$-0.10,0.0
2019-03-31,3.15,$-0.11,0.0
2018-12-31,2.48,$-0.30,0.0
2018-09-30,3.2,$-0.15,0.0
2018-06-30,3.57,$-0.19,0.0
2018-03-31,3.63,$-0.22,0.0
2017-12-31,3.92,$-0.03,0.0
2017-09-30,2.98,$-0.16,0.0
2017-06-30,2.92,$-0.16,0.0
2017-03-31,3.59,$-0.16,0.0
2016-12-31,3.04,$-0.19,0.0
2016-09-30,3.12,$-0.16,0.0
2016-06-30,3.4,$-0.07,0.0
2016-03-31,3.18,$-0.06,0.0
2015-12-31,3.09,$0.06,51.42
2015-09-30,4.04,$0.11,36.72
2015-06-30,6.07,$0.12,50.6
2015-03-31,5.89,$0.27,21.82
2014-12-31,5.68,$0.36,15.77
2014-09-30,8.19,$0.56,14.63
2014-06-30,9.98,$0.65,15.36
2014-03-31,10.23,$0.71,14.41
2013-12-31,9.17,$0.79,11.6
2013-09-30,8.22,$1.00,8.22
2013-06-30,9.89,$1.19,8.32
2013-03-31,10.79,$1.36,7.93
2012-12-31,7.13,$1.41,5.06
2012-09-30,6.11,$1.25,4.89
2012-06-30,5.23,$1.23,4.25
2012-03-31,5.31,$0.71,7.48
2011-12-31,3.47,$0.42,8.27
2011-09-30,3.53,$0.41,8.6
2011-06-30,3.85,$0.16,24.06
2011-03-31,5.66,$0.52,10.88
2010-12-31,7.15,$0.52,13.75
2010-09-30,3.91,$-0.91,0.0
2010-06-30,4.16,$-0.64,0.0
2010-03-31,4.54,$-0.54,0.0
2009-12-31,5.61,$-0.60,0.0
