Lakeland Industries PE Ratio Historical Data,Lakeland Industries PE Ratio Historical Data,Lakeland Industries PE Ratio Historical Data,Lakeland Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.0,,0.0
2024-10-31,18.56,$-0.09,0.0
2024-07-31,23.54,$0.24,98.07
2024-04-30,16.48,$0.75,21.97
2024-01-31,17.9,$0.71,25.21
2023-10-31,14.49,$0.86,16.85
2023-07-31,15.31,$0.71,21.56
2023-04-30,11.89,$0.28,42.47
2023-01-31,14.26,$0.24,59.43
2022-10-31,11.65,$0.40,29.13
2022-07-31,15.8,$0.56,28.21
2022-04-30,15.94,$0.98,16.26
2022-01-31,20.71,$1.41,14.68
2021-10-31,20.6,$2.18,9.45
2021-07-31,26.56,$2.97,8.94
2021-04-30,27.79,$3.82,7.27
2021-01-31,27.38,$4.32,6.34
2020-10-31,21.25,$3.52,6.04
2020-07-31,23.31,$2.52,9.25
2020-04-30,13.42,$1.53,8.77
2020-01-31,13.73,$0.40,34.33
2019-10-31,10.88,$0.01,1088.47
2019-07-31,10.57,$-0.07,0.0
2019-04-30,12.5,$-0.12,0.0
2019-01-31,10.95,$0.17,64.43
2018-10-31,12.94,$-0.23,0.0
2018-07-31,13.3,$-0.06,0.0
2018-04-30,12.76,$0.07,182.23
2018-01-31,13.89,$0.07,198.41
2017-10-31,15.61,$0.84,18.59
2017-07-31,14.82,$0.82,18.08
2017-04-30,10.49,$0.77,13.62
2017-01-31,10.69,$0.54,19.79
2016-10-31,9.75,$0.20,48.76
2016-07-31,9.99,$0.28,35.67
2016-04-30,8.56,$0.36,23.78
2016-01-31,12.74,$0.53,24.03
2015-10-31,12.17,$2.34,5.2
2015-07-31,10.34,$1.63,6.35
2015-04-30,9.08,$1.28,7.1
2015-01-31,8.37,$1.11,7.54
2014-10-31,13.89,$-0.78,0.0
2014-07-31,6.06,$-0.67,0.0
2014-04-30,6.97,$0.14,49.82
2014-01-31,6.46,$-0.02,0.0
2013-10-31,5.5,$-3.13,0.0
2013-07-31,4.36,$-2.77,0.0
2013-04-30,3.91,$-3.21,0.0
2013-01-31,4.97,$-4.99,0.0
2012-10-31,6.05,$-1.88,0.0
2012-07-31,6.5,$-2.04,0.0
2012-04-30,10.29,$-2.23,0.0
2012-01-31,9.28,$-0.07,0.0
2011-10-31,7.41,$0.42,17.64
2011-07-31,8.11,$0.65,12.47
2011-04-30,8.56,$0.64,13.38
2011-01-31,8.72,$0.17,51.28
2010-10-31,9.48,$0.17,55.78
2010-07-31,8.88,$0.02,443.76
2010-04-30,8.73,$-0.08,0.0
2010-01-31,8.32,$0.19,43.81
2009-10-31,7.25,$0.11,65.91
