AC Immune PE Ratio Historical Data,AC Immune PE Ratio Historical Data,AC Immune PE Ratio Historical Data,AC Immune PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.16,,0.0
2024-12-31,2.7,$-0.40,0.0
2024-09-30,3.78,$-0.46,0.0
2024-06-30,3.99,$-0.72,0.0
2024-03-31,2.96,$-0.69,0.0
2023-12-31,5.0,$-0.71,0.0
2023-09-30,2.85,$-0.89,0.0
2023-06-30,2.96,$-0.86,0.0
2023-03-31,2.34,$-0.88,0.0
2022-12-31,2.04,$-0.90,0.0
2022-09-30,3.16,$-0.94,0.0
2022-06-30,3.61,$-1.01,0.0
2022-03-31,4.0,$-1.06,0.0
2021-12-31,4.95,$-1.06,0.0
2021-09-30,6.71,$-1.08,0.0
2021-06-30,7.93,$-1.12,0.0
2021-03-31,7.61,$-1.06,0.0
2020-12-31,5.17,$-0.92,0.0
2020-09-30,4.88,$-0.90,0.0
2020-06-30,6.73,$-0.37,0.0
2020-03-31,6.91,$-0.38,0.0
2019-12-31,8.52,$0.64,13.31
2019-09-30,4.95,$0.70,7.07
2019-06-30,5.55,$0.24,23.13
2019-03-31,5.05,$0.28,18.04
2018-12-31,9.45,$-0.84,0.0
2018-09-30,8.0,$-0.55,0.0
2018-06-30,9.32,$-0.50,0.0
2018-03-31,10.34,$-0.52,0.0
2017-12-31,12.8,$-0.48,0.0
2017-09-30,11.17,$-0.55,0.0
