Rogers Communication PE Ratio Historical Data,Rogers Communication PE Ratio Historical Data,Rogers Communication PE Ratio Historical Data,Rogers Communication PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.91,,12.03
2024-12-31,30.73,$2.32,13.25
2024-09-30,39.64,$2.05,19.34
2024-06-30,36.13,$1.18,30.62
2024-03-31,39.68,$0.80,49.6
2023-12-31,44.92,$1.20,37.44
2023-09-30,36.55,$1.48,24.69
2023-06-30,43.05,$2.17,19.84
2023-03-31,43.36,$2.62,16.55
2022-12-31,43.45,$2.49,17.45
2022-09-30,35.46,$2.38,14.9
2022-06-30,43.67,$2.59,16.86
2022-03-31,51.32,$2.48,20.69
2021-12-31,42.76,$2.42,17.67
2021-09-30,41.51,$2.47,16.81
2021-06-30,46.92,$2.48,18.92
2021-03-31,40.38,$2.38,16.97
2020-12-31,40.47,$2.34,17.29
2020-09-30,34.16,$2.36,14.47
2020-06-30,34.31,$2.47,13.89
2020-03-31,35.16,$2.94,11.96
2019-12-31,41.7,$3.00,13.9
2019-09-30,40.59,$3.03,13.39
2019-06-30,44.24,$3.04,14.55
2019-03-31,44.17,$2.99,14.77
2018-12-31,41.78,$3.05,13.7
2018-09-30,41.62,$2.96,14.06
2018-06-30,38.15,$2.81,13.58
2018-03-31,35.64,$2.76,12.91
2017-12-31,40.3,$2.56,15.74
2017-09-30,40.48,$1.89,21.42
2017-06-30,36.8,$1.48,24.86
2017-03-31,34.2,$1.31,26.11
2016-12-31,29.58,$1.23,24.05
2016-09-30,32.23,$1.69,19.07
2016-06-30,30.43,$2.06,14.77
2016-03-31,29.86,$2.04,14.64
2015-12-31,25.48,$2.08,12.25
2015-09-30,25.24,$2.11,11.96
2015-06-30,25.74,$1.99,12.93
2015-03-31,23.98,$2.12,11.31
2014-12-31,27.52,$2.25,12.23
2014-09-30,26.23,$2.35,11.16
2014-06-30,27.92,$2.64,10.58
2014-03-31,28.45,$2.84,10.02
2013-12-31,30.74,$2.98,10.32
2013-09-30,28.96,$3.44,8.42
2013-06-30,26.13,$3.49,7.49
2013-03-31,33.71,$3.34,10.09
2012-12-31,29.79,$3.26,9.14
2012-09-30,26.21,$2.85,9.2
2012-06-30,23.26,$2.83,8.22
2012-03-31,25.22,$2.87,8.79
2011-12-31,24.22,$2.92,8.29
2011-09-30,21.31,$2.90,7.35
2011-06-30,24.39,$2.64,9.24
2011-03-31,22.24,$2.63,8.46
2010-12-31,20.94,$2.64,7.93
2010-09-30,22.43,$2.56,8.76
2010-06-30,19.46,$2.68,7.26
2010-03-31,20.1,$2.49,8.07
2009-12-31,18.08,$2.34,7.73
