Bragg Gaming Group PE Ratio Historical Data,Bragg Gaming Group PE Ratio Historical Data,Bragg Gaming Group PE Ratio Historical Data,Bragg Gaming Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.41,,0.0
2024-09-30,5.02,$-0.24,0.0
2024-06-30,5.77,$-0.37,0.0
2024-03-31,6.17,$-0.24,0.0
2023-12-31,5.05,$-0.17,0.0
2023-09-30,4.86,$-0.18,0.0
2023-06-30,3.07,$-0.13,0.0
2023-03-31,3.56,$-0.15,0.0
2022-12-31,3.85,$-0.17,0.0
2022-09-30,4.06,$-0.22,0.0
2022-06-30,4.59,$-0.27,0.0
