NexPoint Real Estate Finance PE Ratio Historical Data,NexPoint Real Estate Finance PE Ratio Historical Data,NexPoint Real Estate Finance PE Ratio Historical Data,NexPoint Real Estate Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.74,,14.99
2024-09-30,15.18,$1.05,14.46
2024-06-30,12.92,$-0.51,0.0
2024-03-31,13.04,$-0.55,0.0
2023-12-31,13.78,$0.65,21.21
2023-09-30,13.72,$-0.25,0.0
2023-06-30,12.54,$0.03,418.16
2023-03-31,12.06,$0.01,1206.46
2022-12-31,11.74,$0.45,26.08
2022-09-30,10.76,$1.53,7.03
2022-06-30,14.21,$3.24,4.38
2022-03-31,15.45,$3.48,4.44
2021-12-31,12.86,$3.93,3.27
2021-09-30,12.72,$4.33,2.94
2021-06-30,13.34,$3.68,3.62
2021-03-31,11.6,$4.10,2.83
2020-12-31,10.06,$1.62,6.21
