WaFd PE Ratio Historical Data,WaFd PE Ratio Historical Data,WaFd PE Ratio Historical Data,WaFd PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.25,,13.02
2024-12-31,32.24,$2.17,14.86
2024-09-30,34.61,$2.48,13.95
2024-06-30,28.18,$2.49,11.32
2024-03-31,28.36,$2.63,10.78
2023-12-31,31.9,$3.41,9.35
2023-09-30,24.57,$3.72,6.6
2023-06-30,25.19,$4.07,6.19
2023-03-31,28.35,$4.09,6.93
2022-12-31,31.35,$3.84,8.17
2022-09-30,27.82,$3.39,8.21
2022-06-30,27.67,$3.04,9.1
2022-03-31,30.02,$2.74,10.96
2021-12-31,30.32,$2.60,11.66
2021-09-30,30.97,$2.40,12.9
2021-06-30,28.48,$2.13,13.37
2021-03-31,27.41,$1.98,13.84
2020-12-31,22.72,$1.91,11.9
2020-09-30,18.23,$2.24,8.14
2020-06-30,23.24,$2.45,9.48
2020-03-31,22.28,$2.66,8.37
2019-12-31,31.25,$2.80,11.16
2019-09-30,31.36,$2.61,12.02
2019-06-30,29.44,$2.57,11.46
2019-03-31,24.2,$2.51,9.64
2018-12-31,22.23,$2.45,9.07
2018-09-30,26.46,$2.39,11.07
2018-06-30,26.89,$2.29,11.74
2018-03-31,28.31,$2.17,13.04
2017-12-31,27.88,$2.07,13.47
2017-09-30,27.28,$1.94,14.06
2017-06-30,26.79,$1.91,14.03
2017-03-31,26.59,$1.89,14.07
2016-12-31,27.26,$1.87,14.58
2016-09-30,21.06,$1.79,11.77
2016-06-30,19.05,$1.75,10.88
2016-03-31,17.68,$1.69,10.46
2015-12-31,18.48,$1.66,11.13
2015-09-30,17.55,$1.67,10.51
2015-06-30,17.91,$1.63,10.99
2015-03-31,16.63,$1.59,10.46
2014-12-31,16.79,$1.55,10.83
2014-09-30,15.32,$1.55,9.88
2014-06-30,16.79,$1.55,10.83
2014-03-31,17.37,$1.54,11.28
2013-12-31,17.36,$1.50,11.57
2013-09-30,15.28,$1.44,10.61
2013-06-30,13.88,$1.36,10.21
2013-03-31,12.8,$1.33,9.62
2012-12-31,12.34,$1.31,9.42
2012-09-30,12.07,$1.29,9.35
2012-06-30,12.18,$1.24,9.82
2012-03-31,12.08,$1.18,10.23
2011-12-31,10.04,$1.09,9.21
2011-09-30,9.05,$1.00,9.05
2011-06-30,11.63,$0.86,13.52
2011-03-31,12.23,$0.70,17.47
2010-12-31,11.93,$1.20,9.94
2010-09-30,10.7,$1.05,10.19
2010-06-30,11.3,$1.02,11.07
2010-03-31,14.19,$0.94,15.09
2009-12-31,13.47,$0.31,43.45
