Catheter Precision PE Ratio Historical Data,Catheter Precision PE Ratio Historical Data,Catheter Precision PE Ratio Historical Data,Catheter Precision PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.37,,0.0
2024-09-30,0.4,$-11.18,0.0
2024-06-30,5.85,$-11.97,0.0
2024-03-31,4.86,$-9.30,0.0
2023-12-31,4.04,$-5.70,0.0
2023-09-30,4.44,$-5.70,0.0
2023-06-30,9.2,$-46.50,0.0
2023-03-31,15.3,$-173.60,0.0
2022-12-31,58.9,$-308.60,0.0
2022-09-30,59.9,$-923.60,0.0
2022-06-30,157.05,"$-1,215.00",0.0
2022-03-31,200.05,"$-1,725.00",0.0
2021-12-31,780.0,"$-2,830.00",0.0
2021-09-30,1570.0,"$-4,020.00",0.0
2021-06-30,2185.0,"$-5,310.00",0.0
2021-03-31,2330.0,"$-10,045.00",0.0
2020-12-31,3715.0,"$-15,805.00",0.0
2020-09-30,3625.0,"$-23,000.00",0.0
2020-06-30,6156.25,"$-37,625.00",0.0
2020-03-31,13625.0,"$-46,750.00",0.0
2019-12-31,14125.0,"$-54,250.00",0.0
2019-09-30,17500.0,"$-60,000.00",0.0
2019-06-30,45250.0,"$-51,125.00",0.0
