Krispy Kreme PE Ratio Historical Data,Krispy Kreme PE Ratio Historical Data,Krispy Kreme PE Ratio Historical Data,Krispy Kreme PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.64,,282.0
2024-12-31,9.93,$0.02,496.5
2024-09-30,10.74,$0.17,63.18
2024-06-30,10.76,$-0.30,0.0
2024-03-31,15.24,$-0.27,0.0
2023-12-31,15.09,$-0.22,0.0
2023-09-30,12.47,$-0.26,0.0
2023-06-30,14.73,$-0.10,0.0
2023-03-31,15.55,$-0.12,0.0
2022-12-31,10.32,$-0.10,0.0
2022-09-30,11.53,$-0.07,0.0
2022-06-30,13.57,$-0.03,0.0
