PetMed Express PE Ratio Historical Data,PetMed Express PE Ratio Historical Data,PetMed Express PE Ratio Historical Data,PetMed Express PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.04,,404.0
2024-12-31,4.82,$0.01,0.0
2024-09-30,3.68,$-0.06,0.0
2024-06-30,4.05,$-0.17,0.0
2024-03-31,4.79,$-0.39,0.0
2023-12-31,7.56,$-0.39,0.0
2023-09-30,10.25,$-0.29,0.0
2023-06-30,13.47,$-0.16,0.0
2023-03-31,15.55,$0.02,777.46
2022-12-31,16.69,$0.57,29.29
2022-09-30,18.13,$0.78,23.24
2022-06-30,18.23,$0.96,18.99
2022-03-31,23.29,$1.04,22.4
2021-12-31,22.53,$1.08,20.86
2021-09-30,23.73,$1.25,18.98
2021-06-30,27.84,$1.36,20.47
2021-03-31,30.42,$1.53,19.88
2020-12-31,27.52,$1.54,17.87
2020-09-30,26.89,$1.50,17.93
2020-06-30,30.04,$1.41,21.31
2020-03-31,24.05,$1.28,18.79
2019-12-31,19.44,$1.25,15.56
2019-09-30,14.72,$1.29,11.41
2019-06-30,12.59,$1.48,8.51
2019-03-31,18.06,$1.84,9.81
2018-12-31,18.23,$2.02,9.02
2018-09-30,25.62,$2.08,12.32
2018-06-30,33.95,$1.99,17.06
2018-03-31,31.95,$1.82,17.56
2017-12-31,34.62,$1.69,20.49
2017-09-30,25.09,$1.49,16.84
2017-06-30,30.6,$1.30,23.54
2017-03-31,15.09,$1.17,12.9
2016-12-31,17.13,$1.07,16.01
2016-09-30,14.91,$1.07,13.94
2016-06-30,13.67,$1.05,13.02
2016-03-31,12.92,$1.02,12.66
2015-12-31,12.23,$1.00,12.23
2015-09-30,11.36,$1.00,11.36
2015-06-30,12.06,$0.92,13.11
2015-03-31,11.41,$0.88,12.97
2014-12-31,9.82,$0.86,11.42
2014-09-30,9.17,$0.85,10.79
2014-06-30,8.98,$0.92,9.76
2014-03-31,8.82,$0.91,9.69
2013-12-31,10.79,$0.91,11.86
2013-09-30,10.44,$0.91,11.48
2013-06-30,8.0,$0.90,8.89
2013-03-31,8.42,$0.86,9.79
2012-12-31,6.89,$0.83,8.3
2012-09-30,5.65,$0.79,7.15
2012-06-30,6.73,$0.78,8.63
2012-03-31,6.77,$0.80,8.46
2011-12-31,5.6,$0.79,7.09
2011-09-30,4.8,$0.80,6.0
2011-06-30,6.24,$0.83,7.51
2011-03-31,8.27,$0.93,8.89
2010-12-31,9.21,$1.01,9.12
2010-09-30,8.98,$1.06,8.47
2010-06-30,9.06,$1.12,8.09
2010-03-31,11.23,$1.16,9.69
2009-12-31,8.9,$1.14,7.81
