Sensata Technologies Holding PE Ratio Historical Data,Sensata Technologies Holding PE Ratio Historical Data,Sensata Technologies Holding PE Ratio Historical Data,Sensata Technologies Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.9,,33.21
2024-12-31,27.4,$0.84,32.62
2024-09-30,35.73,$-0.54,0.0
2024-06-30,37.13,$0.04,928.23
2024-03-31,36.38,$-0.11,0.0
2023-12-31,37.06,$-0.05,0.0
2023-09-30,37.31,$2.03,18.38
2023-06-30,44.25,$2.53,17.49
2023-03-31,49.06,$2.43,20.19
2022-12-31,39.52,$2.01,19.66
2022-09-30,36.39,$1.97,18.47
2022-06-30,40.22,$1.59,25.3
2022-03-31,49.39,$2.08,23.74
2021-12-31,59.92,$2.28,26.28
2021-09-30,53.15,$2.35,22.62
2021-06-30,56.3,$2.31,24.37
2021-03-31,56.29,$1.33,42.32
2020-12-31,51.23,$1.04,49.25
2020-09-30,41.9,$0.61,68.69
2020-06-30,36.16,$0.56,64.57
2020-03-31,28.1,$1.28,21.95
2019-12-31,52.32,$1.75,29.9
2019-09-30,48.62,$2.95,16.48
2019-06-30,47.59,$3.39,14.04
2019-03-31,43.73,$3.55,12.32
2018-12-31,43.55,$3.55,12.27
2018-09-30,48.13,$2.99,16.1
2018-06-30,46.21,$2.62,17.64
2018-03-31,50.34,$2.47,20.38
2017-12-31,49.64,$2.37,20.95
2017-09-30,46.69,$1.78,26.23
2017-06-30,41.49,$1.68,24.7
2017-03-31,42.42,$1.60,26.51
2016-12-31,37.83,$1.53,24.73
2016-09-30,37.67,$2.41,15.63
2016-06-30,33.89,$2.31,14.67
2016-03-31,37.72,$2.17,17.38
2015-12-31,44.74,$2.03,22.04
2015-09-30,43.07,$1.17,36.81
2015-06-30,51.23,$1.34,38.23
2015-03-31,55.8,$1.47,37.96
2014-12-31,50.9,$1.65,30.85
2014-09-30,43.25,$1.62,26.7
2014-06-30,45.44,$1.51,30.09
2014-03-31,41.42,$1.25,33.13
2013-12-31,37.66,$1.05,35.86
2013-09-30,37.17,$1.06,35.07
2013-06-30,33.9,$0.92,36.85
2013-03-31,31.93,$0.95,33.61
2012-12-31,31.55,$0.97,32.52
2012-09-30,28.91,$0.71,40.73
2012-06-30,26.01,$0.62,41.95
2012-03-31,32.52,$0.28,116.14
2011-12-31,25.53,$0.02,1276.26
2011-09-30,25.7,$0.27,95.19
2011-06-30,36.57,$-0.15,0.0
2011-03-31,33.73,$0.51,66.14
2010-12-31,29.25,$0.73,40.06
