23andMe Holding PE Ratio Historical Data,23andMe Holding PE Ratio Historical Data,23andMe Holding PE Ratio Historical Data,23andMe Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.76,,0.0
2024-12-31,3.25,$-15.45,0.0
2024-09-30,0.35,$-25.32,0.0
2024-06-30,0.39,$-26.20,0.0
2024-03-31,0.53,$-28.00,0.0
2023-12-31,0.91,$-22.20,0.0
2023-09-30,0.98,$-14.60,0.0
2023-06-30,1.75,$-14.40,0.0
2023-03-31,2.28,$-13.80,0.0
2022-12-31,2.16,$-14.20,0.0
2022-09-30,2.86,$-14.40,0.0
2022-06-30,2.48,$-12.20,0.0
2022-03-31,3.83,$-13.20,0.0
2021-12-31,6.66,$-10.00,0.0
2021-09-30,9.06,$-5.80,0.0
