Gorman-Rupp PE Ratio Historical Data,Gorman-Rupp PE Ratio Historical Data,Gorman-Rupp PE Ratio Historical Data,Gorman-Rupp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.02,,24.2
2024-12-31,37.92,$1.53,24.78
2024-09-30,38.77,$1.45,26.74
2024-06-30,36.37,$1.30,27.98
2024-03-31,38.97,$1.38,28.24
2023-12-31,34.84,$1.33,26.2
2023-09-30,32.08,$1.08,29.7
2023-06-30,27.96,$0.83,33.68
2023-03-31,24.07,$0.39,61.72
2022-12-31,24.51,$0.43,57.01
2022-09-30,22.62,$0.59,38.34
2022-06-30,26.75,$0.84,31.84
2022-03-31,33.72,$1.15,29.32
2021-12-31,41.68,$1.14,36.56
2021-09-30,33.38,$1.15,29.02
2021-06-30,31.96,$1.09,29.32
2021-03-31,30.59,$1.04,29.41
2020-12-31,29.84,$0.97,30.76
2020-09-30,26.96,$1.03,26.18
2020-06-30,28.32,$1.12,25.29
2020-03-31,28.29,$1.30,21.76
2019-12-31,33.85,$1.37,24.71
2019-09-30,31.28,$1.41,22.19
2019-06-30,29.52,$1.45,20.36
2019-03-31,30.39,$1.44,21.1
2018-12-31,28.9,$1.53,18.89
2018-09-30,30.6,$1.48,20.67
2018-06-30,29.24,$1.29,22.67
2018-03-31,24.34,$1.20,20.29
2017-12-31,25.86,$1.02,25.35
2017-09-30,26.88,$0.90,29.86
2017-06-30,20.93,$0.95,22.03
2017-03-31,25.69,$0.90,28.55
2016-12-31,25.23,$0.95,26.56
2016-09-30,20.79,$0.97,21.43
2016-06-30,22.17,$0.92,24.09
2016-03-31,20.89,$0.92,22.71
2015-12-31,21.44,$0.96,22.33
2015-09-30,19.16,$1.05,18.24
2015-06-30,22.35,$1.19,18.78
2015-03-31,23.75,$1.28,18.55
2014-12-31,25.38,$1.38,18.39
2014-09-30,23.66,$1.36,17.4
2014-06-30,27.78,$1.30,21.31
2014-03-31,24.9,$1.31,19.04
2013-12-31,26.11,$1.15,22.66
2013-09-30,24.99,$1.01,24.8
2013-06-30,19.78,$0.96,20.6
2013-03-31,18.61,$0.90,20.58
2012-12-31,18.41,$1.07,17.17
2012-09-30,16.6,$1.13,14.71
2012-06-30,18.25,$1.17,15.63
2012-03-31,17.81,$1.22,14.65
2011-12-31,16.53,$1.09,15.12
2011-09-30,14.98,$1.27,11.84
2011-06-30,19.92,$1.21,16.51
2011-03-31,19.02,$1.09,17.48
2010-12-31,15.56,$0.99,15.69
2010-09-30,13.22,$0.77,17.22
2010-06-30,11.98,$0.73,16.41
2010-03-31,12.12,$0.70,17.37
2009-12-31,13.11,$0.70,18.79
