PB Bankshares PE Ratio Historical Data,PB Bankshares PE Ratio Historical Data,PB Bankshares PE Ratio Historical Data,PB Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.32,,25.5
2024-09-30,15.46,$0.64,24.16
2024-06-30,14.13,$0.67,21.09
2024-03-31,12.9,$0.74,17.43
2023-12-31,12.54,$0.77,16.29
2023-09-30,12.34,$1.03,11.98
2023-06-30,13.8,$0.98,14.08
2023-03-31,13.05,$0.89,14.66
2022-12-31,13.58,$0.83,16.36
2022-09-30,12.41,$0.50,24.82
2022-06-30,13.16,$0.42,31.33
