Atrinsic PE Ratio Historical Data,Atrinsic PE Ratio Historical Data,Atrinsic PE Ratio Historical Data,Atrinsic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.26,,0.0
2024-09-30,0.63,$-1.27,0.0
2024-06-30,0.91,$-1.45,0.0
2024-03-31,1.75,$-1.37,0.0
2023-12-31,0.99,$-1.15,0.0
2023-09-30,1.84,$-0.77,0.0
2023-06-30,2.03,$-0.65,0.0
2023-03-31,1.73,$-0.53,0.0
2022-12-31,0.4,$-0.68,0.0
2022-09-30,0.57,$-0.88,0.0
2022-06-30,0.72,$-0.88,0.0
2022-03-31,0.82,$-1.16,0.0
2021-12-31,1.39,$-1.28,0.0
2021-09-30,1.87,$-1.28,0.0
2021-06-30,2.88,$-1.48,0.0
2021-03-31,6.25,$-1.28,0.0
