ESSA Pharma PE Ratio Historical Data,ESSA Pharma PE Ratio Historical Data,ESSA Pharma PE Ratio Historical Data,ESSA Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.6,,0.0
2024-12-31,1.79,$-0.69,0.0
2024-09-30,6.06,$-0.64,0.0
2024-06-30,5.26,$-0.62,0.0
2024-03-31,8.49,$-0.63,0.0
2023-12-31,6.6,$-0.59,0.0
2023-09-30,3.09,$-0.60,0.0
2023-06-30,2.7,$-0.62,0.0
2023-03-31,2.97,$-0.65,0.0
2022-12-31,2.52,$-0.74,0.0
2022-09-30,1.82,$-0.80,0.0
2022-06-30,3.15,$-0.86,0.0
2022-03-31,6.18,$-0.87,0.0
2021-12-31,14.2,$-0.98,0.0
2021-09-30,8.0,$-0.97,0.0
2021-06-30,28.57,$-0.94,0.0
2021-03-31,29.05,$-0.97,0.0
2020-12-31,11.93,$-1.06,0.0
2020-09-30,6.9,$-1.08,0.0
2020-06-30,6.2,$-0.84,0.0
2020-03-31,4.0,$-1.12,0.0
2019-12-31,5.5,$-1.21,0.0
2019-09-30,3.37,$-1.41,0.0
2019-06-30,2.45,$-1.87,0.0
2019-03-31,3.41,$-1.85,0.0
2018-12-31,2.1,$-2.14,0.0
2018-09-30,3.0,$-3.12,0.0
2018-06-30,3.79,$-4.13,0.0
2018-03-31,3.83,$-1.23,0.0
2017-12-31,4.39,$-5.60,0.0
2017-09-30,5.8,$-3.20,0.0
2017-06-30,11.0,$-4.80,0.0
2017-03-31,62.4,$-9.80,0.0
2016-12-31,43.8,$-5.40,0.0
2016-09-30,55.0,$-10.00,0.0
2016-06-30,59.0,$-6.60,0.0
