DLH Holdings PE Ratio Historical Data,DLH Holdings PE Ratio Historical Data,DLH Holdings PE Ratio Historical Data,DLH Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.73,,10.75
2024-12-31,8.03,$0.44,18.25
2024-09-30,9.36,$0.51,18.35
2024-06-30,10.56,$0.17,62.12
2024-03-31,13.27,$0.21,63.19
2023-12-31,15.75,$0.15,105.0
2023-09-30,11.67,$0.11,106.09
2023-06-30,10.25,$0.53,19.34
2023-03-31,11.47,$0.75,15.29
2022-12-31,11.87,$1.19,9.97
2022-09-30,12.27,$1.63,7.53
2022-06-30,15.24,$1.60,9.53
2022-03-31,18.94,$1.47,12.88
2021-12-31,20.72,$1.16,17.86
2021-09-30,12.3,$0.74,16.62
2021-06-30,11.68,$0.63,18.54
2021-03-31,9.92,$0.58,17.1
2020-12-31,9.32,$0.55,16.95
2020-09-30,7.25,$0.54,13.43
2020-06-30,7.34,$0.56,13.11
2020-03-31,4.21,$0.46,9.15
2019-12-31,4.19,$0.40,10.48
2019-09-30,4.46,$0.41,10.88
2019-06-30,5.08,$0.43,11.81
2019-03-31,6.4,$0.50,12.8
2018-12-31,4.65,$0.50,9.3
2018-09-30,5.76,$0.13,44.31
2018-06-30,5.48,$0.07,78.29
2018-03-31,5.84,$0.02,292.0
2017-12-31,6.16,0,0.0
2017-09-30,6.48,$0.27,24.0
2017-06-30,5.39,$0.39,13.82
2017-03-31,5.4,$0.38,14.21
2016-12-31,5.94,$0.33,18.0
2016-09-30,4.69,$0.29,16.17
2016-06-30,5.05,$0.91,5.55
2016-03-31,3.84,$0.88,4.36
2015-12-31,4.2,$0.84,5.0
2015-09-30,2.84,$0.86,3.3
2015-06-30,2.61,$0.52,5.02
2015-03-31,1.95,$0.51,3.82
2014-12-31,2.01,$0.54,3.72
2014-09-30,1.94,$0.54,3.59
2014-06-30,1.89,$0.06,31.5
2014-03-31,2.55,$0.04,63.75
2013-12-31,1.53,$0.01,153.0
2013-09-30,1.28,$-0.01,0.0
2013-06-30,0.8,$-0.05,0.0
2013-03-31,0.84,$-0.15,0.0
2012-12-31,0.71,$-0.26,0.0
2012-09-30,1.06,$-0.31,0.0
2012-06-30,1.3,$-0.89,0.0
2012-03-31,1.97,$-0.82,0.0
2011-12-31,1.89,$-0.74,0.0
2011-09-30,1.63,$-0.75,0.0
2011-06-30,0.99,$-0.61,0.0
2011-03-31,0.49,$-0.70,0.0
2010-12-31,0.51,$-0.86,0.0
2010-09-30,0.52,$-1.15,0.0
2010-06-30,0.5,$-1.35,0.0
2010-03-31,0.99,$-1.35,0.0
2009-12-31,0.8,$-1.26,0.0
