U.S Global Investors PE Ratio Historical Data,U.S Global Investors PE Ratio Historical Data,U.S Global Investors PE Ratio Historical Data,U.S Global Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.27,,75.67
2024-12-31,2.44,$0.03,81.33
2024-09-30,2.56,$0.13,19.66
2024-06-30,2.56,$0.10,25.64
2024-03-31,2.71,$0.12,22.57
2023-12-31,2.72,$0.23,11.85
2023-09-30,2.73,$0.20,13.66
2023-06-30,2.91,$0.22,13.23
2023-03-31,2.52,$0.21,12.0
2022-12-31,2.71,$0.04,67.64
2022-09-30,2.67,$0.22,12.12
2022-06-30,4.08,$0.37,11.04
2022-03-31,4.78,$0.34,14.07
2021-12-31,4.03,$1.34,3.01
2021-09-30,5.19,$2.20,2.36
2021-06-30,5.63,$2.17,2.59
2021-03-31,6.34,$2.17,2.92
2020-12-31,4.94,$1.12,4.41
2020-09-30,2.15,$-0.04,0.0
2020-06-30,1.71,$-0.41,0.0
2020-03-31,0.87,$-0.40,0.0
2019-12-31,1.28,$-0.24,0.0
2019-09-30,1.77,$-0.39,0.0
2019-06-30,1.6,$-0.23,0.0
2019-03-31,0.96,$-0.26,0.0
2018-12-31,0.96,$-0.38,0.0
2018-09-30,1.32,$-0.12,0.0
2018-06-30,1.39,$0.04,34.8
2018-03-31,2.18,$0.01,0.0
2017-12-31,3.35,$0.08,41.92
2017-09-30,1.83,$0.03,60.91
2017-06-30,1.3,$-0.03,0.0
2017-03-31,1.32,0,0.0
2016-12-31,1.15,$-0.02,0.0
2016-09-30,1.55,$-0.16,0.0
2016-06-30,1.42,$-0.24,0.0
2016-03-31,1.44,$-0.35,0.0
2015-12-31,0.97,$-0.40,0.0
2015-09-30,1.38,$-0.31,0.0
2015-06-30,2.28,$-0.26,0.0
2015-03-31,2.61,$-0.11,0.0
2014-12-31,2.52,$-0.04,0.0
2014-09-30,2.87,$-0.07,0.0
2014-06-30,2.83,$-0.06,0.0
2014-03-31,2.57,$-0.10,0.0
2013-12-31,2.03,$-0.10,0.0
2013-09-30,2.27,$-0.01,0.0
2013-06-30,1.66,$-0.01,0.0
2013-03-31,2.88,0,0.0
2012-12-31,3.13,$0.03,104.43
2012-09-30,4.72,$0.05,94.31
2012-06-30,3.32,$0.10,33.18
2012-03-31,5.44,$0.22,24.75
2011-12-31,4.49,$0.36,12.47
2011-09-30,5.0,$0.48,10.42
2011-06-30,5.27,$0.51,10.34
2011-03-31,5.89,$0.46,12.81
2010-12-31,5.86,$0.39,15.03
2010-09-30,4.52,$0.34,13.3
2010-06-30,3.93,$0.35,11.23
2010-03-31,6.95,$0.35,19.87
2009-12-31,8.61,$0.27,31.87
