Good Times Restaurants PE Ratio Historical Data,Good Times Restaurants PE Ratio Historical Data,Good Times Restaurants PE Ratio Historical Data,Good Times Restaurants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.42,,11.01
2024-12-31,2.59,$0.22,11.77
2024-09-30,2.72,$0.15,18.13
2024-06-30,2.53,$0.11,23.0
2024-03-31,2.47,$0.06,41.17
2023-12-31,2.54,$0.89,2.85
2023-09-30,2.98,$0.93,3.2
2023-06-30,3.4,$0.85,4.0
2023-03-31,2.73,$0.82,3.33
2022-12-31,2.24,$-0.07,0.0
2022-09-30,2.17,$-0.03,0.0
2022-06-30,3.01,$0.17,17.71
2022-03-31,3.5,$1.17,2.99
2021-12-31,4.34,$1.26,3.44
2021-09-30,5.12,$1.29,3.97
2021-06-30,4.09,$1.31,3.12
2021-03-31,4.0,$0.29,13.79
2020-12-31,2.85,$-0.99,0.0
2020-09-30,1.46,$-1.11,0.0
2020-06-30,1.23,$-1.56,0.0
2020-03-31,0.58,$-1.54,0.0
2019-12-31,1.59,$-0.39,0.0
2019-09-30,1.61,$-0.41,0.0
2019-06-30,1.76,$-0.11,0.0
2019-03-31,2.42,$-0.13,0.0
2018-12-31,2.5,$-0.12,0.0
2018-09-30,4.65,$-0.09,0.0
2018-06-30,3.75,$-0.11,0.0
2018-03-31,3.05,$-0.15,0.0
2017-12-31,2.65,$-0.18,0.0
2017-09-30,2.7,$-0.18,0.0
2017-06-30,3.55,$-0.14,0.0
2017-03-31,3.15,$-0.08,0.0
2016-12-31,3.15,$-0.07,0.0
2016-09-30,3.37,$-0.11,0.0
2016-06-30,3.49,$-0.10,0.0
2016-03-31,3.98,$-0.13,0.0
2015-12-31,4.8,$-0.13,0.0
2015-09-30,6.25,$-0.08,0.0
2015-06-30,8.81,$-0.10,0.0
2015-03-31,7.19,$-0.09,0.0
2014-12-31,6.96,$-0.14,0.0
2014-09-30,6.0,$-0.15,0.0
2014-06-30,3.76,$-0.18,0.0
2014-03-31,2.86,$-0.16,0.0
2013-12-31,2.52,$-0.19,0.0
2013-09-30,2.35,$-0.28,0.0
2013-06-30,3.01,$-0.23,0.0
2013-03-31,2.85,$-0.27,0.0
2012-12-31,2.31,$-0.28,0.0
2012-09-30,1.28,$-0.27,0.0
2012-06-30,1.95,$-0.27,0.0
2012-03-31,0.99,$-0.27,0.0
2011-12-31,1.15,$-0.28,0.0
2011-09-30,1.55,$-0.40,0.0
2011-06-30,1.64,$-0.40,0.0
2011-03-31,2.25,$-0.82,0.0
2010-12-31,2.04,$-1.60,0.0
2010-09-30,2.82,$-1.83,0.0
2010-06-30,2.76,$-2.01,0.0
2010-03-31,3.24,$-1.74,0.0
2009-12-31,3.24,$-1.17,0.0
