Astrotech PE Ratio Historical Data,Astrotech PE Ratio Historical Data,Astrotech PE Ratio Historical Data,Astrotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.54,,0.0
2024-12-31,6.72,$-8.17,0.0
2024-09-30,7.99,$-7.34,0.0
2024-06-30,8.9,$-7.12,0.0
2024-03-31,8.95,$-6.76,0.0
2023-12-31,8.49,$-6.30,0.0
2023-09-30,10.1,$-6.18,0.0
2023-06-30,14.16,$-5.89,0.0
2023-03-31,10.66,$-5.67,0.0
2022-12-31,9.99,$-5.40,0.0
2022-09-30,13.29,$-5.41,0.0
2022-06-30,12.9,$-5.11,0.0
2022-03-31,21.63,$-3.90,0.0
2021-12-31,20.4,$-6.61,0.0
2021-09-30,31.5,$-8.11,0.0
2021-06-30,39.9,$-15.02,0.0
2021-03-31,65.7,$-22.82,0.0
2020-12-31,53.1,$-29.13,0.0
2020-09-30,51.0,$-36.64,0.0
2020-06-30,85.5,$-39.64,0.0
2020-03-31,78.0,$-40.84,0.0
2019-12-31,54.0,$-38.14,0.0
2019-09-30,53.1,$-41.44,0.0
2019-06-30,75.0,$-46.85,0.0
2019-03-31,109.2,$-69.37,0.0
2018-12-31,143.1,$-82.88,0.0
2018-09-30,83.1,$-92.19,0.0
2018-06-30,93.0,$-80.18,0.0
2018-03-31,79.5,$-69.67,0.0
2017-12-31,100.5,$-69.67,0.0
2017-09-30,148.28,$-66.07,0.0
2017-06-30,136.5,$-87.09,0.0
2017-03-31,196.5,$-91.59,0.0
2016-12-31,225.0,$-97.60,0.0
2016-09-30,247.5,$-96.10,0.0
2016-06-30,253.5,$-94.60,0.0
2016-03-31,313.5,$-69.07,0.0
2015-12-31,229.5,$-58.56,0.0
2015-09-30,310.5,$-58.56,0.0
2015-06-30,406.5,$139.64,2.91
2015-03-31,459.75,$133.63,3.44
2014-12-31,364.5,$127.63,2.86
2014-09-30,423.0,$126.13,3.35
2014-06-30,477.0,$-39.04,0.0
2014-03-31,352.5,$-16.52,0.0
2013-12-31,424.5,$4.50,94.24
2013-09-30,114.87,$18.02,6.38
2013-06-30,105.03,$-1.50,0.0
2013-03-31,125.73,$-28.53,0.0
2012-12-31,135.0,$-19.52,0.0
2012-09-30,146.55,$-28.53,0.0
2012-06-30,162.0,$-24.02,0.0
2012-03-31,127.5,$-28.53,0.0
2011-12-31,84.15,$-39.04,0.0
2011-09-30,91.5,$-37.54,0.0
2011-06-30,154.65,$-42.04,0.0
2011-03-31,160.5,$-42.04,0.0
2010-12-31,169.5,$-45.05,0.0
2010-09-30,181.5,$-18.02,0.0
2010-06-30,186.0,$-1.50,0.0
2010-03-31,481.5,$36.04,13.36
2009-12-31,288.0,$73.58,3.91
