Innoviz Technologies PE Ratio Historical Data,Innoviz Technologies PE Ratio Historical Data,Innoviz Technologies PE Ratio Historical Data,Innoviz Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.7,,0.0
2024-12-31,1.68,$-0.46,0.0
2024-09-30,0.83,$-0.64,0.0
2024-06-30,0.93,$-0.67,0.0
2024-03-31,1.35,$-0.77,0.0
2023-12-31,2.53,$-0.85,0.0
2023-09-30,1.95,$-0.92,0.0
2023-06-30,2.84,$-0.99,0.0
2023-03-31,3.5,$-0.97,0.0
2022-12-31,3.93,$-0.94,0.0
2022-09-30,5.21,$-0.69,0.0
2022-06-30,3.92,$-0.64,0.0
2022-03-31,3.62,$-1.01,0.0
2021-12-31,6.34,$-2.28,0.0
2021-09-30,5.76,$-2.28,0.0
