Healthcare Triangle PE Ratio Historical Data,Healthcare Triangle PE Ratio Historical Data,Healthcare Triangle PE Ratio Historical Data,Healthcare Triangle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.37,,0.0
2024-09-30,0.49,$-2.18,0.0
2024-06-30,0.52,$-2.42,0.0
2024-03-31,1.86,$-2.56,0.0
2023-12-31,2.75,$-2.94,0.0
2023-09-30,3.81,$-2.98,0.0
2023-06-30,2.33,$-3.22,0.0
2023-03-31,0.4,$-2.90,0.0
2022-12-31,0.18,$-2.70,0.0
2022-09-30,0.37,$-2.60,0.0
