Passage Bio PE Ratio Historical Data,Passage Bio PE Ratio Historical Data,Passage Bio PE Ratio Historical Data,Passage Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.48,,0.0
2024-12-31,0.57,$-1.07,0.0
2024-09-30,0.7,$-1.17,0.0
2024-06-30,0.79,$-1.35,0.0
2024-03-31,1.35,$-1.53,0.0
2023-12-31,1.01,$-1.86,0.0
2023-09-30,0.66,$-2.06,0.0
2023-06-30,0.94,$-2.06,0.0
2023-03-31,0.96,$-2.35,0.0
2022-12-31,1.38,$-2.51,0.0
2022-09-30,1.25,$-2.96,0.0
2022-06-30,2.36,$-3.34,0.0
2022-03-31,3.1,$-3.51,0.0
2021-12-31,6.35,$-3.48,0.0
2021-09-30,9.96,$-3.38,0.0
2021-06-30,13.24,$-3.14,0.0
2021-03-31,17.48,$-2.84,0.0
2020-12-31,25.57,$-3.08,0.0
