Regions Financial PE Ratio Historical Data,Regions Financial PE Ratio Historical Data,Regions Financial PE Ratio Historical Data,Regions Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.68,,11.18
2024-12-31,23.52,$1.94,12.12
2024-09-30,23.11,$1.77,13.06
2024-06-30,19.64,$1.77,11.1
2024-03-31,20.62,$1.84,11.21
2023-12-31,18.75,$2.09,8.97
2023-09-30,16.41,$2.40,6.84
2023-06-30,16.79,$2.34,7.17
2023-03-31,17.28,$2.34,7.39
2022-12-31,19.88,$2.27,8.76
2022-09-30,18.34,$2.00,9.17
2022-06-30,16.98,$2.22,7.65
2022-03-31,20.0,$2.40,8.33
2021-12-31,19.43,$2.48,7.84
2021-09-30,18.86,$2.66,7.09
2021-06-30,17.71,$2.53,7.0
2021-03-31,18.01,$1.51,11.92
2020-12-31,13.94,$1.02,13.67
2020-09-30,9.88,$0.79,12.5
2020-06-30,9.4,$0.66,14.24
2020-03-31,7.49,$1.28,5.85
2019-12-31,14.17,$1.51,9.39
2019-09-30,12.95,$1.50,8.63
2019-06-30,12.1,$1.61,7.52
2019-03-31,11.35,$1.56,7.27
2018-12-31,10.63,$1.54,6.9
2018-09-30,14.45,$1.44,10.03
2018-06-30,13.9,$1.19,11.68
2018-03-31,14.46,$1.12,12.91
2017-12-31,13.39,$1.00,13.39
2017-09-30,11.74,$0.96,12.23
2017-06-30,11.2,$0.95,11.79
2017-03-31,11.06,$0.90,12.29
2016-12-31,10.89,$0.87,12.51
2016-09-30,7.45,$0.85,8.76
2016-06-30,6.38,$0.79,8.08
2016-03-31,5.85,$0.79,7.4
2015-12-31,7.1,$0.75,9.46
2015-09-30,6.62,$0.68,9.73
2015-06-30,7.56,$0.72,10.5
2015-03-31,6.86,$0.73,9.4
2014-12-31,7.63,$0.79,9.65
2014-09-30,7.21,$0.81,8.91
2014-06-30,7.59,$0.79,9.61
2014-03-31,7.91,$0.76,10.4
2013-12-31,7.02,$0.77,9.12
2013-09-30,6.55,$0.79,8.29
2013-06-30,6.72,$0.80,8.4
2013-03-31,5.76,$0.82,7.02
2012-12-31,5.01,$0.70,7.15
2012-09-30,5.04,$0.04,126.11
2012-06-30,4.73,$-0.09,0.0
2012-03-31,4.61,$-0.25,0.0
2011-12-31,3.0,$-0.35,0.0
2011-09-30,2.32,$0.16,14.49
2011-06-30,4.3,$-0.09,0.0
2011-03-31,5.03,$-0.41,0.0
2010-12-31,4.85,$-0.63,0.0
2010-09-30,5.02,$-1.17,0.0
2010-06-30,4.54,$-1.37,0.0
2010-03-31,5.41,$-1.37,0.0
2009-12-31,3.64,$-1.12,0.0
