Upland Software PE Ratio Historical Data,Upland Software PE Ratio Historical Data,Upland Software PE Ratio Historical Data,Upland Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.34,,0.0
2024-12-31,4.34,$-3.96,0.0
2024-09-30,2.49,$-4.52,0.0
2024-06-30,2.49,$-4.71,0.0
2024-03-31,3.09,$-4.75,0.0
2023-12-31,4.23,$-5.76,0.0
2023-09-30,4.62,$-5.95,0.0
2023-06-30,3.6,$-5.86,0.0
2023-03-31,4.3,$-5.87,0.0
2022-12-31,7.13,$-2.22,0.0
2022-09-30,8.13,$-1.71,0.0
2022-06-30,14.52,$-1.85,0.0
2022-03-31,17.61,$-1.96,0.0
2021-12-31,17.94,$-1.92,0.0
2021-09-30,33.44,$-1.87,0.0
2021-06-30,41.17,$-1.93,0.0
2021-03-31,47.19,$-1.87,0.0
2020-12-31,45.89,$-1.99,0.0
2020-09-30,37.7,$-2.60,0.0
2020-06-30,34.76,$-2.68,0.0
2020-03-31,26.82,$-2.35,0.0
2019-12-31,35.71,$-1.91,0.0
2019-09-30,34.86,$-0.98,0.0
2019-06-30,45.53,$-0.69,0.0
2019-03-31,42.36,$-0.71,0.0
2018-12-31,27.18,$-0.50,0.0
2018-09-30,32.31,$-0.82,0.0
2018-06-30,34.37,$-0.79,0.0
2018-03-31,28.79,$-0.86,0.0
2017-12-31,21.66,$-1.03,0.0
2017-09-30,21.16,$-0.96,0.0
2017-06-30,21.99,$-0.92,0.0
2017-03-31,15.89,$-0.81,0.0
2016-12-31,8.95,$-0.84,0.0
2016-09-30,8.81,$-1.00,0.0
2016-06-30,7.62,$-1.02,0.0
2016-03-31,6.87,$-1.02,0.0
2015-12-31,7.05,$-0.91,0.0
2015-09-30,7.9,$-0.93,0.0
