CNO Financial PE Ratio Historical Data,CNO Financial PE Ratio Historical Data,CNO Financial PE Ratio Historical Data,CNO Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.22,,11.02
2024-12-31,37.21,$3.74,9.95
2024-09-30,34.95,$2.48,14.09
2024-06-30,27.47,$3.85,7.13
2024-03-31,27.07,$3.43,7.89
2023-12-31,27.33,$2.41,11.34
2023-09-30,23.11,$2.46,9.4
2023-06-30,22.91,$1.91,11.99
2023-03-31,21.34,$2.43,8.78
2022-12-31,21.84,$3.37,6.48
2022-09-30,17.07,$3.93,4.34
2022-06-30,17.06,$3.79,4.5
2022-03-31,23.49,$3.21,7.32
2021-12-31,22.2,$3.36,6.61
2021-09-30,21.8,$3.23,6.75
2021-06-30,21.75,$3.37,6.45
2021-03-31,22.25,$3.36,6.62
2020-12-31,20.27,$2.13,9.52
2020-09-30,14.55,$3.17,4.59
2020-06-30,14.02,$2.53,5.54
2020-03-31,11.08,$2.20,5.04
2019-12-31,16.09,$2.67,6.03
2019-09-30,13.96,$1.00,13.96
2019-06-30,14.6,$-2.49,0.0
2019-03-31,14.07,$-2.12,0.0
2018-12-31,12.86,$-1.94,0.0
2018-09-30,18.12,$-2.53,0.0
2018-06-30,16.19,$1.28,12.65
2018-03-31,18.33,$1.15,15.94
2017-12-31,20.8,$1.01,20.59
2017-09-30,19.59,$2.77,7.07
2017-06-30,17.45,$2.29,7.62
2017-03-31,17.06,$2.14,7.97
2016-12-31,15.87,$2.03,7.82
2016-09-30,12.6,$1.42,8.88
2016-06-30,14.34,$1.49,9.62
2016-03-31,14.66,$1.40,10.47
2015-12-31,15.55,$1.41,11.03
2015-09-30,15.27,$1.09,14.01
2015-06-30,14.84,$1.45,10.23
2015-03-31,13.87,$1.56,8.89
2014-12-31,13.82,$0.27,51.2
2014-09-30,13.57,$0.33,41.11
2014-06-30,14.19,$1.02,13.91
2014-03-31,14.38,$1.01,14.23
2013-12-31,14.01,$2.09,6.7
2013-09-30,11.38,$2.03,5.61
2013-06-30,10.22,$0.78,13.11
2013-03-31,9.01,$0.68,13.25
2012-12-31,7.33,$0.84,8.72
2012-09-30,7.56,$0.69,10.96
2012-06-30,6.1,$1.37,4.45
2012-03-31,6.07,$1.34,4.53
2011-12-31,4.92,$1.32,3.73
2011-09-30,4.22,$1.62,2.6
2011-06-30,6.17,$1.13,5.46
2011-03-31,5.86,$1.04,5.63
2010-12-31,5.29,$0.98,5.4
2010-09-30,4.32,$0.51,8.47
2010-06-30,3.86,$0.42,9.19
2010-03-31,4.85,$0.45,10.78
2009-12-31,3.9,$0.45,8.66
