Hanmi Financial PE Ratio Historical Data,Hanmi Financial PE Ratio Historical Data,Hanmi Financial PE Ratio Historical Data,Hanmi Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.1,,10.78
2024-12-31,23.62,$2.05,11.52
2024-09-30,18.39,$2.08,8.84
2024-06-30,16.31,$2.21,7.38
2024-03-31,15.29,$2.40,6.37
2023-12-31,18.34,$2.62,7.0
2023-09-30,15.11,$2.94,5.14
2023-06-30,13.72,$3.21,4.27
2023-03-31,16.78,$3.36,4.99
2022-12-31,22.13,$3.32,6.67
2022-09-30,20.98,$3.48,6.03
2022-06-30,19.69,$3.45,5.71
2022-03-31,21.39,$3.35,6.38
2021-12-31,20.41,$3.22,6.34
2021-09-30,17.15,$2.60,6.59
2021-06-30,16.19,$2.27,7.13
2021-03-31,16.67,$1.85,9.01
2020-12-31,9.51,$1.38,6.89
2020-09-30,6.83,$1.01,6.77
2020-06-30,8.02,$0.88,9.11
2020-03-31,8.85,$0.67,13.21
2019-12-31,16.09,$1.07,15.03
2019-09-30,14.92,$1.34,11.14
2019-06-30,17.49,$1.44,12.14
2019-03-31,16.7,$1.83,9.13
2018-12-31,15.47,$1.81,8.55
2018-09-30,19.33,$1.80,10.74
2018-06-30,21.81,$1.76,12.39
2018-03-31,23.45,$1.73,13.55
2017-12-31,22.97,$1.70,13.51
2017-09-30,23.27,$1.79,13.0
2017-06-30,21.23,$1.74,12.2
2017-03-31,22.8,$1.73,13.18
2016-12-31,25.73,$1.76,14.62
2016-09-30,19.27,$1.77,10.89
2016-06-30,17.05,$1.80,9.47
2016-03-31,15.89,$1.80,8.83
2015-12-31,17.01,$1.69,10.06
2015-09-30,17.96,$1.42,12.65
2015-06-30,17.63,$1.39,12.68
2015-03-31,14.95,$1.30,11.5
2014-12-31,15.33,$1.30,11.79
2014-09-30,14.13,$1.42,9.95
2014-06-30,14.72,$1.33,11.07
2014-03-31,16.22,$1.28,12.67
2013-12-31,15.19,$1.25,12.15
2013-09-30,11.46,$1.38,8.3
2013-06-30,12.17,$1.48,8.22
2013-03-31,11.02,$2.95,3.73
2012-12-31,9.36,$2.86,3.27
2012-09-30,8.82,$2.42,3.65
2012-06-30,7.22,$2.24,3.22
2012-03-31,6.97,$0.87,8.01
2011-12-31,5.1,$1.20,4.25
2011-09-30,4.57,$1.52,3.01
2011-06-30,5.89,$0.32,18.42
2011-03-31,6.83,$-4.64,0.0
2010-12-31,6.34,$-12.96,0.0
2010-09-30,7.05,$-18.88,0.0
2010-06-30,6.94,$-28.00,0.0
2010-03-31,13.22,$-25.12,0.0
2009-12-31,6.61,$-18.24,0.0
