F.N.B PE Ratio Historical Data,F.N.B PE Ratio Historical Data,F.N.B PE Ratio Historical Data,F.N.B PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.55,,10.75
2024-12-31,14.78,$1.26,11.73
2024-09-30,14.01,$1.09,12.85
2024-06-30,13.47,$1.19,11.32
2024-03-31,13.88,$1.24,11.2
2023-12-31,13.44,$1.32,10.18
2023-09-30,10.43,$1.57,6.65
2023-06-30,10.95,$1.55,7.07
2023-03-31,10.99,$1.46,7.52
2022-12-31,12.25,$1.21,10.13
2022-09-30,10.8,$1.13,9.56
2022-06-30,10.01,$1.09,9.18
2022-03-31,11.36,$1.10,10.33
2021-12-31,10.97,$1.23,8.92
2021-09-30,10.4,$1.15,9.04
2021-06-30,10.92,$1.06,10.3
2021-03-31,11.15,$1.00,11.15
2020-12-31,8.26,$0.86,9.6
2020-09-30,5.82,$0.93,6.26
2020-06-30,6.33,$0.99,6.4
2020-03-31,6.13,$1.03,5.95
2019-12-31,10.43,$1.17,8.92
2019-09-30,9.38,$1.18,7.95
2019-06-30,9.47,$1.17,8.09
2019-03-31,8.43,$1.14,7.4
2018-12-31,7.75,$1.12,6.92
2018-09-30,9.93,$0.89,11.15
2018-06-30,10.38,$0.82,12.66
2018-03-31,10.31,$0.78,13.22
2017-12-31,10.5,$0.61,17.22
2017-09-30,10.57,$0.77,13.73
2017-06-30,10.57,$0.78,13.55
2017-03-31,11.0,$0.75,14.67
2016-12-31,11.77,$0.78,15.09
2016-09-30,8.96,$0.76,11.79
2016-06-30,9.05,$0.74,12.23
2016-03-31,9.3,$0.77,12.08
2015-12-31,9.45,$0.87,10.86
2015-09-30,9.1,$0.87,10.45
2015-06-30,9.96,$0.85,11.72
2015-03-31,9.06,$0.83,10.92
2014-12-31,9.1,$0.81,11.24
2014-09-30,8.12,$0.78,10.41
2014-06-30,8.59,$0.80,10.74
2014-03-31,8.9,$0.80,11.12
2013-12-31,8.3,$0.80,10.37
2013-09-30,7.9,$0.83,9.52
2013-06-30,7.79,$0.83,9.38
2013-03-31,7.72,$0.84,9.19
2012-12-31,6.71,$0.79,8.49
2012-09-30,7.0,$0.77,9.09
2012-06-30,6.72,$0.74,9.08
2012-03-31,7.38,$0.71,10.4
2011-12-31,6.84,$0.70,9.77
2011-09-30,5.12,$0.72,7.11
2011-06-30,6.1,$0.68,8.98
2011-03-31,6.14,$0.66,9.31
2010-12-31,5.66,$0.66,8.57
2010-09-30,4.87,$0.49,9.93
2010-06-30,4.49,$0.38,11.83
2010-03-31,4.47,$0.32,13.98
2009-12-31,3.69,$0.34,10.85
