Desktop Metal PE Ratio Historical Data,Desktop Metal PE Ratio Historical Data,Desktop Metal PE Ratio Historical Data,Desktop Metal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.42,,0.0
2024-09-30,4.67,$-11.20,0.0
2024-06-30,4.13,$-11.53,0.0
2024-03-31,8.8,$-9.90,0.0
2023-12-31,7.51,$-9.90,0.0
2023-09-30,14.6,$-14.40,0.0
2023-06-30,17.7,$-14.90,0.0
2023-03-31,23.0,$-22.90,0.0
2022-12-31,13.6,$-23.50,0.0
2022-09-30,25.9,$-16.10,0.0
2022-06-30,22.0,$-16.80,0.0
2022-03-31,47.4,$-9.00,0.0
2021-12-31,49.5,$-9.30,0.0
2021-09-30,71.7,$-6.80,0.0
2021-06-30,115.0,$-7.50,0.0
2021-03-31,149.0,$-6.30,0.0
2020-12-31,172.0,$-4.30,0.0
2020-09-30,108.0,$-4.30,0.0
2020-06-30,104.5,$-1.00,0.0
2020-03-31,99.4,$-0.50,0.0
