First Busey PE Ratio Historical Data,First Busey PE Ratio Historical Data,First Busey PE Ratio Historical Data,First Busey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.01,,11.17
2024-12-31,23.57,$1.97,11.96
2024-09-30,25.78,$1.94,13.29
2024-06-30,23.78,$1.93,12.32
2024-03-31,23.36,$1.98,11.8
2023-12-31,23.86,$2.17,11.0
2023-09-30,18.25,$2.32,7.87
2023-06-30,18.89,$2.42,7.8
2023-03-31,18.87,$2.43,7.77
2022-12-31,22.71,$2.29,9.92
2022-09-30,19.99,$2.21,9.05
2022-06-30,20.59,$2.03,10.14
2022-03-31,22.62,$2.03,11.14
2021-12-31,24.01,$2.21,10.86
2021-09-30,21.61,$2.20,9.82
2021-06-30,21.42,$2.30,9.31
2021-03-31,22.07,$2.24,9.85
2020-12-31,18.36,$1.83,10.03
2020-09-30,13.38,$1.83,7.31
2020-06-30,15.51,$1.72,9.02
2020-03-31,14.04,$1.68,8.36
2019-12-31,22.38,$1.88,11.91
2019-09-30,20.4,$1.87,10.91
2019-06-30,21.14,$1.97,10.73
2019-03-31,19.38,$2.05,9.45
2018-12-31,19.33,$2.02,9.57
2018-09-30,24.29,$1.76,13.8
2018-06-30,24.66,$1.62,15.22
2018-03-31,22.96,$1.54,14.91
2017-12-31,22.98,$1.48,15.53
2017-09-30,23.94,$1.53,15.65
2017-06-30,22.24,$1.52,14.63
2017-03-31,22.16,$1.44,15.39
2016-12-31,23.07,$1.41,16.36
2016-09-30,16.81,$1.47,11.44
2016-06-30,15.79,$1.43,11.04
2016-03-31,15.0,$1.41,10.64
2015-12-31,14.98,$1.32,11.35
2015-09-30,14.3,$1.20,11.92
2015-06-30,14.08,$1.14,12.35
2015-03-31,14.23,$1.08,13.18
2014-12-31,13.73,$1.08,12.72
2014-09-30,11.65,$1.05,11.09
2014-06-30,12.04,$0.99,12.17
2014-03-31,11.92,$0.96,12.42
2013-12-31,11.84,$0.87,13.61
2013-09-30,10.55,$0.81,13.03
2013-06-30,9.04,$0.72,12.56
2013-03-31,9.1,$0.63,14.44
2012-12-31,9.26,$0.69,13.41
2012-09-30,9.48,$0.69,13.73
2012-06-30,9.28,$0.78,11.9
2012-03-31,9.41,$0.84,11.21
2011-12-31,9.47,$0.87,10.89
2011-09-30,8.18,$0.99,8.26
2011-06-30,9.87,$0.96,10.28
2011-03-31,9.4,$0.96,9.79
2010-12-31,8.63,$0.81,10.65
2010-09-30,8.28,$-0.93,0.0
2010-06-30,8.17,$-24.92,0.0
2010-03-31,7.91,$-26.84,0.0
2009-12-31,6.89,$-26.51,0.0
