Terex PE Ratio Historical Data,Terex PE Ratio Historical Data,Terex PE Ratio Historical Data,Terex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.08,,7.88
2024-12-31,46.22,$4.96,9.32
2024-09-30,52.75,$6.85,7.7
2024-06-30,54.5,$7.29,7.48
2024-03-31,64.0,$7.55,8.48
2023-12-31,56.94,$7.59,7.5
2023-09-30,56.9,$7.07,8.05
2023-06-30,58.91,$6.52,9.04
2023-03-31,47.5,$5.25,9.05
2022-12-31,41.84,$4.34,9.64
2022-09-30,29.04,$3.83,7.58
2022-06-30,26.63,$3.31,8.04
2022-03-31,34.57,$3.28,10.54
2021-12-31,42.45,$3.12,13.61
2021-09-30,40.57,$2.54,15.97
2021-06-30,45.79,$1.94,23.6
2021-03-31,44.19,$0.77,57.4
2020-12-31,33.38,$-0.15,0.0
2020-09-30,18.52,$-0.06,0.0
2020-06-30,17.96,$0.16,112.22
2020-03-31,13.74,$1.34,10.25
2019-12-31,28.32,$0.76,37.26
2019-09-30,24.6,$-0.03,0.0
2019-06-30,29.62,$0.18,164.53
2019-03-31,30.18,$-0.12,0.0
2018-12-31,25.82,$1.43,18.05
2018-09-30,37.25,$1.57,23.73
2018-06-30,39.28,$1.72,22.84
2018-03-31,34.75,$2.01,17.29
2017-12-31,44.68,$1.35,33.09
2017-09-30,41.64,$-0.86,0.0
2017-06-30,34.61,$-0.63,0.0
2017-03-31,28.91,$-1.08,0.0
2016-12-31,28.96,$-1.69,0.0
2016-09-30,23.27,$0.98,23.74
2016-06-30,18.55,$0.49,37.85
2016-03-31,22.64,$0.68,33.3
2015-12-31,16.76,$1.34,12.51
2015-09-30,16.23,$1.90,8.54
2015-06-30,20.97,$2.06,10.18
2015-03-31,23.93,$2.49,9.61
2014-12-31,25.03,$2.78,9.0
2014-09-30,28.47,$2.81,10.13
2014-06-30,36.78,$3.06,12.02
2014-03-31,39.6,$2.03,19.51
2013-12-31,37.49,$1.94,19.32
2013-09-30,29.96,$0.90,33.29
2013-06-30,23.45,$0.36,65.14
2013-03-31,30.69,$0.95,32.31
2012-12-31,25.06,$0.94,26.66
2012-09-30,20.13,$1.22,16.5
2012-06-30,15.9,$1.28,12.42
2012-03-31,20.06,$0.51,39.34
2011-12-31,12.05,$0.41,29.38
2011-09-30,9.15,$0.01,914.85
2011-06-30,25.37,$-1.18,0.0
2011-03-31,33.03,$-1.55,0.0
2010-12-31,27.68,$3.33,8.31
2010-09-30,20.44,$2.43,8.41
2010-06-30,16.71,$2.34,7.14
2010-03-31,20.25,$1.93,10.49
2009-12-31,17.66,$-3.84,0.0
