FinWise Bancorp PE Ratio Historical Data,FinWise Bancorp PE Ratio Historical Data,FinWise Bancorp PE Ratio Historical Data,FinWise Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.37,,16.39
2024-09-30,15.6,$1.06,14.72
2024-06-30,10.21,$1.18,8.65
2024-03-31,10.05,$1.29,7.79
2023-12-31,14.31,$1.33,10.76
2023-09-30,8.64,$1.50,5.76
2023-06-30,8.95,$1.40,6.39
2023-03-31,8.81,$1.46,6.03
2022-12-31,9.26,$1.93,4.8
2022-09-30,9.03,$2.34,3.86
