Shell PE Ratio Historical Data,Shell PE Ratio Historical Data,Shell PE Ratio Historical Data,Shell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.95,,14.8
2024-09-30,65.95,$4.86,13.57
2024-06-30,72.18,$5.60,12.89
2024-03-31,67.04,$5.42,12.37
2023-12-31,65.8,$5.66,11.63
2023-09-30,64.38,$8.44,7.63
2023-06-30,60.38,$8.18,7.38
2023-03-31,57.54,$12.06,4.77
2022-12-31,56.95,$11.42,4.99
2022-09-30,49.76,$11.46,4.34
2022-06-30,51.81,$9.50,5.45
2022-03-31,53.96,$5.58,9.67
2021-12-31,42.26,$5.16,8.19
2021-09-30,42.93,$1.16,37.01
2021-06-30,38.92,$1.40,27.8
2021-03-31,37.77,$-4.14,0.0
2020-12-31,33.85,$-5.59,0.0
2020-09-30,24.25,$-4.31,0.0
2020-06-30,31.18,$-2.97,0.0
2020-03-31,32.92,$2.43,13.55
2019-12-31,54.65,$3.90,14.01
2019-09-30,53.68,$5.01,10.71
2019-06-30,58.35,$4.95,11.79
2019-03-31,56.13,$5.65,9.93
2018-12-31,52.26,$5.59,9.35
2018-09-30,61.11,$5.16,11.84
2018-06-30,61.21,$4.74,12.91
2018-03-31,55.68,$3.68,15.13
2017-12-31,57.38,$3.14,18.27
2017-09-30,52.1,$2.60,20.04
2017-06-30,45.75,$1.96,23.34
2017-03-31,45.35,$1.87,24.25
2016-12-31,45.96,$1.15,39.97
2016-09-30,42.32,$1.07,39.55
2016-06-30,45.79,$-1.59,0.0
2016-03-31,40.18,$-0.64,0.0
2015-12-31,37.21,$0.60,62.02
2015-09-30,38.51,$0.54,71.32
2015-06-30,45.6,$4.26,10.7
2015-03-31,47.01,$4.70,10.0
2014-12-31,52.77,$4.74,11.13
2014-09-30,59.2,$5.06,11.7
2014-06-30,63.3,$5.15,12.29
2014-03-31,56.14,$4.02,13.97
2013-12-31,54.07,$5.19,10.42
2013-09-30,49.16,$6.75,7.28
2013-06-30,47.09,$7.54,6.25
2013-03-31,47.46,$8.29,5.72
2012-12-31,49.58,$8.50,5.83
2012-09-30,49.27,$8.46,5.82
2012-06-30,47.29,$8.42,5.62
2012-03-31,48.55,$9.90,4.9
2011-12-31,50.02,$9.94,5.03
2011-09-30,41.59,$10.07,4.13
2011-06-30,47.52,$8.95,5.31
2011-03-31,48.11,$7.60,6.33
2010-12-31,43.57,$6.55,6.65
2010-09-30,38.85,$4.98,7.8
2010-06-30,31.9,$4.92,6.48
2010-03-31,36.22,$4.73,7.66
2009-12-31,37.05,$4.08,9.08
