Safe & Green Holdings PE Ratio Historical Data,Safe & Green Holdings PE Ratio Historical Data,Safe & Green Holdings PE Ratio Historical Data,Safe & Green Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.46,,0.0
2024-09-30,0.96,$-9.44,0.0
2024-06-30,2.87,$-12.06,0.0
2024-03-31,4.0,$-16.73,0.0
2023-12-31,9.42,$-16.80,0.0
2023-09-30,12.0,$-21.60,0.0
2023-06-30,19.0,$-20.80,0.0
2023-03-31,20.2,$-15.60,0.0
2022-12-31,27.4,$-11.80,0.0
2022-09-30,35.4,$-13.20,0.0
2022-06-30,33.2,$-18.20,0.0
2022-03-31,39.0,$-19.40,0.0
2021-12-31,37.6,$-22.80,0.0
2021-09-30,65.4,$-20.40,0.0
2021-06-30,110.0,$-15.20,0.0
2021-03-31,93.2,$-15.00,0.0
2020-12-31,122.0,$-23.20,0.0
2020-09-30,36.2,$-196.00,0.0
2020-06-30,53.4,$-284.60,0.0
2020-03-31,186.0,$-361.40,0.0
2019-12-31,62.76,$-396.60,0.0
2019-09-30,168.8,$-392.00,0.0
2019-06-30,288.0,$-396.00,0.0
2019-03-31,736.0,$-432.00,0.0
2018-12-31,1082.0,$-456.00,0.0
2018-09-30,1600.0,$-284.00,0.0
2018-06-30,2080.04,$-288.00,0.0
2018-03-31,1842.68,"$-1,432.00",0.0
