Brookfield Renewable Partners PE Ratio Historical Data,Brookfield Renewable Partners PE Ratio Historical Data,Brookfield Renewable Partners PE Ratio Historical Data,Brookfield Renewable Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.65,,0.0
2024-12-31,22.79,$-0.89,0.0
2024-09-30,27.8,$-0.82,0.0
2024-06-30,24.09,$-0.64,0.0
2024-03-31,22.59,$-0.46,0.0
2023-12-31,25.15,$-0.32,0.0
2023-09-30,20.53,$-0.49,0.0
2023-06-30,27.49,$-0.60,0.0
2023-03-31,29.05,$-0.53,0.0
2022-12-31,23.07,$-0.60,0.0
2022-09-30,28.17,$-0.56,0.0
2022-06-30,31.05,$-0.52,0.0
2022-03-31,36.33,$-0.62,0.0
2021-12-31,31.37,$-0.70,0.0
2021-09-30,32.08,$-0.80,0.0
2021-06-30,33.28,$-0.88,0.0
2021-03-31,36.48,$-0.85,0.0
2020-12-31,36.68,$-0.57,0.0
2020-09-30,29.58,$-0.49,0.0
2020-06-30,26.71,$-0.31,0.0
2020-03-31,23.43,$-0.18,0.0
2019-12-31,25.44,$-0.13,0.0
2019-09-30,21.92,$0.21,106.08
2019-06-30,18.41,$0.20,92.1
2019-03-31,16.73,$0.16,104.66
2018-12-31,13.34,$0.09,153.99
2018-09-30,15.57,$-0.25,0.0
2018-06-30,15.23,$-0.23,0.0
2018-03-31,15.54,$-0.13,0.0
2017-12-31,17.16,$-0.12,0.0
2017-09-30,16.24,$-0.08,0.0
2017-06-30,15.27,$-0.07,0.0
2017-03-31,14.01,$-0.23,0.0
2016-12-31,13.78,$-0.15,0.0
2016-09-30,14.06,$-0.11,0.0
2016-06-30,13.42,$-0.07,0.0
2016-03-31,13.29,$0.05,284.58
2015-12-31,11.43,$0.01,0.0
2015-09-30,11.81,$0.14,84.33
2015-06-30,12.57,$0.10,125.66
2015-03-31,13.19,$0.15,86.02
2014-12-31,12.75,$0.28,45.53
2014-09-30,12.41,$0.26,47.74
2014-06-30,11.91,$0.37,31.9
2014-03-31,11.56,$0.39,29.91
2013-12-31,10.28,$0.35,29.67
2013-09-30,10.2,$0.16,63.76
2013-06-30,10.53,$-0.00,0.0
2013-03-31,10.95,$-0.09,0.0
2012-12-31,10.77,$-0.25,0.0
2012-09-30,10.98,$-0.29,0.0
