ThredUp PE Ratio Historical Data,ThredUp PE Ratio Historical Data,ThredUp PE Ratio Historical Data,ThredUp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.44,,0.0
2024-12-31,1.39,$-0.69,0.0
2024-09-30,0.84,$-0.64,0.0
2024-06-30,1.7,$-0.59,0.0
2024-03-31,2.0,$-0.64,0.0
2023-12-31,2.25,$-0.68,0.0
2023-09-30,4.01,$-0.73,0.0
2023-06-30,2.44,$-0.80,0.0
2023-03-31,2.53,$-0.91,0.0
2022-12-31,1.31,$-0.93,0.0
2022-09-30,1.84,$-0.92,0.0
2022-06-30,2.5,$-0.83,0.0
2022-03-31,7.7,$-0.69,0.0
2021-12-31,12.76,$-1.34,0.0
