Hippo Holdings PE Ratio Historical Data,Hippo Holdings PE Ratio Historical Data,Hippo Holdings PE Ratio Historical Data,Hippo Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.28,,0.0
2024-12-31,26.77,$-1.74,0.0
2024-09-30,16.88,$-5.21,0.0
2024-06-30,17.19,$-7.11,0.0
2024-03-31,18.27,$-10.08,0.0
2023-12-31,9.12,$-11.62,0.0
2023-09-30,7.97,$-12.60,0.0
2023-06-30,16.53,$-16.02,0.0
2023-03-31,16.23,$-14.66,0.0
2022-12-31,13.6,$-14.65,0.0
2022-09-30,18.53,$-14.66,0.0
2022-06-30,21.97,$-11.00,0.0
2022-03-31,49.75,$-157.25,0.0
2021-12-31,70.75,$-154.25,0.0
