LCI Industries PE Ratio Historical Data,LCI Industries PE Ratio Historical Data,LCI Industries PE Ratio Historical Data,LCI Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,88.84,,15.86
2024-12-31,103.39,$5.60,18.46
2024-09-30,119.4,$5.14,23.23
2024-06-30,101.5,$4.77,21.28
2024-03-31,120.82,$3.68,32.83
2023-12-31,122.31,$2.53,48.35
2023-09-30,113.15,$1.94,58.33
2023-06-30,120.76,$3.32,36.37
2023-03-31,103.99,$8.07,12.89
2022-12-31,86.69,$15.49,5.6
2022-09-30,94.14,$19.39,4.86
2022-06-30,102.87,$19.48,5.28
2022-03-31,94.6,$16.09,5.88
2021-12-31,140.95,$11.31,12.46
2021-09-30,121.05,$10.01,12.09
2021-06-30,117.41,$10.22,11.49
2021-03-31,117.47,$8.07,14.56
2020-12-31,114.57,$6.26,18.3
2020-09-30,93.35,$5.48,17.04
2020-06-30,100.32,$4.20,23.89
2020-03-31,57.96,$5.57,10.41
2019-12-31,92.26,$5.83,15.82
2019-09-30,78.61,$5.49,14.32
2019-06-30,76.45,$5.40,14.16
2019-03-31,64.76,$5.37,12.06
2018-12-31,55.89,$5.85,9.55
2018-09-30,68.7,$5.73,11.99
2018-06-30,74.32,$5.66,13.13
2018-03-31,85.25,$5.39,15.82
2017-12-31,105.87,$5.24,20.2
2017-09-30,93.91,$5.61,16.74
2017-06-30,82.57,$5.54,14.9
2017-03-31,80.03,$5.46,14.66
2016-12-31,86.02,$5.20,16.54
2016-09-30,77.88,$4.80,16.22
2016-06-30,67.2,$4.31,15.59
2016-03-31,50.86,$3.65,13.94
2015-12-31,47.82,$3.02,15.84
2015-09-30,42.89,$2.86,15.0
2015-06-30,45.57,$2.80,16.27
2015-03-31,48.33,$2.72,17.77
2014-12-31,38.84,$2.57,15.11
2014-09-30,32.08,$2.54,12.63
2014-06-30,38.03,$2.52,15.09
2014-03-31,41.22,$2.42,17.03
2013-12-31,38.94,$2.11,18.45
2013-09-30,33.31,$1.86,17.91
2013-06-30,28.76,$1.67,17.22
2013-03-31,26.56,$1.52,17.47
2012-12-31,23.59,$1.65,14.3
2012-09-30,20.69,$1.62,12.77
2012-06-30,19.08,$1.44,13.25
2012-03-31,18.71,$1.41,13.27
2011-12-31,16.8,$1.34,12.54
2011-09-30,13.69,$1.30,10.53
2011-06-30,16.93,$1.41,12.01
2011-03-31,15.3,$1.35,11.33
2010-12-31,15.56,$1.26,12.35
2010-09-30,13.39,$1.25,10.71
2010-06-30,12.96,$1.22,10.63
2010-03-31,14.13,$0.91,15.53
2009-12-31,13.25,$-1.12,0.0
