Biosig Technologies PE Ratio Historical Data,Biosig Technologies PE Ratio Historical Data,Biosig Technologies PE Ratio Historical Data,Biosig Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.67,,0.0
2024-09-30,0.47,$-0.78,0.0
2024-06-30,0.47,$-1.26,0.0
2024-03-31,0.66,$-2.56,0.0
2023-12-31,4.75,$-3.40,0.0
2023-09-30,4.89,$-4.80,0.0
2023-06-30,12.5,$-5.60,0.0
2023-03-31,11.4,$-5.50,0.0
2022-12-31,4.2,$-4.30,0.0
2022-09-30,6.4,$-2.90,0.0
2022-06-30,6.58,$-1.50,0.0
2022-03-31,11.5,$-2.40,0.0
2021-12-31,22.3,$-5.00,0.0
2021-09-30,29.8,$-8.10,0.0
2021-06-30,38.6,$-11.90,0.0
2021-03-31,43.1,$-16.70,0.0
2020-12-31,39.0,$-18.70,0.0
2020-09-30,49.3,$-22.50,0.0
2020-06-30,72.0,$-21.20,0.0
2020-03-31,41.9,$-17.80,0.0
2019-12-31,59.2,$-16.50,0.0
2019-09-30,82.5,$-9.60,0.0
2019-06-30,93.9,$-7.10,0.0
