Delek US Holdings PE Ratio Historical Data,Delek US Holdings PE Ratio Historical Data,Delek US Holdings PE Ratio Historical Data,Delek US Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.45,,0.0
2024-12-31,18.5,$-8.84,0.0
2024-09-30,18.49,$-4.86,0.0
2024-06-30,24.13,$-1.69,0.0
2024-03-31,29.69,$-1.24,0.0
2023-12-31,24.68,$0.22,112.18
2023-09-30,26.92,$1.06,25.4
2023-06-30,22.51,$-0.81,0.0
2023-03-31,21.35,$4.37,4.89
2022-12-31,24.88,$3.51,7.09
2022-09-30,24.86,$4.67,5.32
2022-06-30,23.31,$4.81,4.85
2022-03-31,19.14,$-1.34,0.0
2021-12-31,13.52,$-2.77,0.0
2021-09-30,16.21,$-6.18,0.0
2021-06-30,19.5,$-7.62,0.0
2021-03-31,19.65,$-5.34,0.0
2020-12-31,14.5,$-8.28,0.0
2020-09-30,10.04,$-3.86,0.0
2020-06-30,15.41,$-1.98,0.0
2020-03-31,13.74,$-2.16,0.0
2019-12-31,28.52,$4.02,7.09
2019-09-30,30.62,$5.06,6.05
2019-06-30,33.86,$6.41,5.28
2019-03-31,30.2,$6.30,4.79
2018-12-31,26.76,$3.97,6.74
2018-09-30,34.69,$5.05,6.87
2018-06-30,40.82,$4.31,9.47
2018-03-31,32.95,$2.81,11.73
2017-12-31,28.14,$3.42,8.23
2017-09-30,21.42,$1.58,13.56
2017-06-30,21.04,$-2.32,0.0
2017-03-31,19.2,$-1.82,0.0
2016-12-31,18.93,$-2.47,0.0
2016-09-30,13.49,$-3.70,0.0
2016-06-30,10.22,$-0.80,0.0
2016-03-31,11.66,$0.10,116.56
2015-12-31,18.64,$0.29,64.27
2015-09-30,20.87,$1.44,14.49
2015-06-30,27.61,$2.37,11.65
2015-03-31,29.69,$2.50,11.88
2014-12-31,20.22,$3.34,6.05
2014-09-30,24.36,$2.62,9.3
2014-06-30,20.67,$1.37,15.09
2014-03-31,21.02,$1.23,17.09
2013-12-31,24.71,$1.95,12.67
2013-09-30,14.99,$3.09,4.85
2013-06-30,20.27,$4.79,4.23
2013-03-31,27.68,$5.16,5.36
2012-12-31,17.6,$4.67,3.77
2012-09-30,17.58,$3.51,5.01
2012-06-30,12.05,$3.42,3.52
2012-03-31,10.54,$3.23,3.26
2011-12-31,7.73,$2.75,2.81
2011-09-30,7.5,$1.55,4.84
2011-06-30,10.42,$-0.21,0.0
2011-03-31,8.98,$-0.89,0.0
2010-12-31,4.8,$-1.46,0.0
2010-09-30,4.7,$-0.55,0.0
2010-06-30,4.76,$-0.46,0.0
2010-03-31,4.72,$-0.26,0.0
2009-12-31,4.4,0,0.0
