Next Technology Holding PE Ratio Historical Data,Next Technology Holding PE Ratio Historical Data,Next Technology Holding PE Ratio Historical Data,Next Technology Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.35,,0.05
2024-09-30,1.22,$7.38,0.17
2024-06-30,4.54,$6.92,0.66
2024-03-31,4.8,$8.84,0.54
2023-12-31,3.85,$-0.26,0.0
2023-09-30,13.43,$-0.26,0.0
2023-06-30,9.29,$-9.26,0.0
