Medalist Diversified REIT PE Ratio Historical Data,Medalist Diversified REIT PE Ratio Historical Data,Medalist Diversified REIT PE Ratio Historical Data,Medalist Diversified REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.57,,48.35
2024-12-31,13.3,$0.26,51.16
2024-09-30,11.95,$-0.22,0.0
2024-06-30,11.42,$-1.51,0.0
2024-03-31,11.4,$-1.84,0.0
2023-12-31,10.35,$-3.18,0.0
2023-09-30,10.41,$-3.66,0.0
2023-06-30,9.86,$-3.50,0.0
2023-03-31,12.98,$-3.66,0.0
2022-12-31,10.79,$-4.48,0.0
2022-09-30,12.42,$-3.68,0.0
2022-06-30,12.34,$-2.88,0.0
2022-03-31,15.49,$-2.72,0.0
2021-12-31,17.2,$-8.00,0.0
2021-09-30,17.48,$-20.00,0.0
2021-06-30,18.86,$-23.52,0.0
2021-03-31,28.15,$-28.00,0.0
2020-12-31,30.23,$-27.84,0.0
2020-09-30,17.3,$-18.08,0.0
2020-06-30,25.38,$-15.84,0.0
2020-03-31,23.58,$-15.52,0.0
2019-12-31,46.5,$-14.24,0.0
2019-09-30,54.89,$-11.84,0.0
