Dorchester Minerals PE Ratio Historical Data,Dorchester Minerals PE Ratio Historical Data,Dorchester Minerals PE Ratio Historical Data,Dorchester Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.22,,14.25
2024-12-31,33.33,$2.12,15.72
2024-09-30,29.23,$2.78,10.51
2024-06-30,29.22,$2.64,11.07
2024-03-31,31.2,$2.57,12.14
2023-12-31,28.56,$2.84,10.06
2023-09-30,25.32,$2.65,9.55
2023-06-30,25.55,$2.80,9.12
2023-03-31,25.0,$3.26,7.67
2022-12-31,24.0,$3.35,7.16
2022-09-30,19.24,$3.30,5.83
2022-06-30,17.77,$2.91,6.11
2022-03-31,18.79,$2.41,7.8
2021-12-31,13.94,$1.94,7.19
2021-09-30,13.16,$1.46,9.01
2021-06-30,11.24,$1.13,9.95
2021-03-31,8.92,$0.70,12.75
2020-12-31,6.99,$0.62,11.27
2020-09-30,6.41,$0.79,8.11
2020-06-30,7.77,$0.98,7.93
2020-03-31,5.42,$1.33,4.08
2019-12-31,11.12,$1.50,7.41
2019-09-30,10.34,$1.67,6.19
2019-06-30,9.88,$1.59,6.22
2019-03-31,9.62,$1.70,5.66
2018-12-31,7.48,$1.61,4.65
2018-09-30,10.42,$1.52,6.86
2018-06-30,10.23,$1.47,6.96
2018-03-31,7.81,$1.24,6.3
2017-12-31,7.2,$1.18,6.1
2017-09-30,6.99,$0.96,7.28
2017-06-30,6.57,$0.95,6.92
2017-03-31,7.68,$0.88,8.73
2016-12-31,7.74,$0.66,11.72
2016-09-30,6.68,$0.54,12.37
2016-06-30,6.14,$0.41,14.99
2016-03-31,4.8,$0.34,14.13
2015-12-31,4.09,$0.42,9.74
2015-09-30,5.9,$0.60,9.83
2015-06-30,8.64,$0.87,9.94
2015-03-31,9.07,$1.14,7.96
2014-12-31,10.0,$1.42,7.04
2014-09-30,11.39,$1.56,7.3
2014-06-30,11.59,$1.55,7.48
2014-03-31,9.76,$1.54,6.34
2013-12-31,9.51,$1.37,6.94
2013-09-30,8.58,$1.40,6.13
2013-06-30,8.66,$1.32,6.56
2013-03-31,8.04,$1.21,6.65
2012-12-31,6.91,$1.20,5.76
2012-09-30,7.39,$1.18,6.26
2012-06-30,7.21,$1.28,5.63
2012-03-31,8.43,$1.32,6.39
2011-12-31,7.13,$1.33,5.36
2011-09-30,7.35,$1.18,6.23
2011-06-30,8.19,$1.12,7.32
2011-03-31,8.77,$1.06,8.28
2010-12-31,8.13,$1.11,7.33
2010-09-30,7.82,$1.13,6.92
2010-06-30,7.31,$0.97,7.54
2010-03-31,5.96,$0.88,6.77
2009-12-31,5.91,$0.72,8.21
