Pinstripes Holdings PE Ratio Historical Data,Pinstripes Holdings PE Ratio Historical Data,Pinstripes Holdings PE Ratio Historical Data,Pinstripes Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-05,0.15,,0.0
2025-01-31,0.47,$-0.64,0.0
2024-10-31,0.73,$-0.12,0.0
2024-07-31,2.22,$0.10,22.2
2024-04-30,3.0,$0.33,9.09
2024-01-31,4.0,$0.33,12.12
2023-10-31,10.58,0,0.0
2023-09-30,10.53,0,0.0
2023-07-31,10.49,0,0.0
2023-06-30,10.4,0,0.0
2023-04-30,10.31,0,0.0
2023-03-31,10.4,0,0.0
2023-01-31,10.32,0,0.0
2022-12-31,10.21,0,0.0
