NN PE Ratio Historical Data,NN PE Ratio Historical Data,NN PE Ratio Historical Data,NN PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.62,,0.0
2024-12-31,3.27,$-1.10,0.0
2024-09-30,3.9,$-1.09,0.0
2024-06-30,3.0,$-1.14,0.0
2024-03-31,4.74,$-1.40,0.0
2023-12-31,4.0,$-1.35,0.0
2023-09-30,1.86,$-1.18,0.0
2023-06-30,2.39,$-1.11,0.0
2023-03-31,1.07,$-0.98,0.0
2022-12-31,1.5,$-0.82,0.0
2022-09-30,1.71,$-0.53,0.0
2022-06-30,2.53,$-0.55,0.0
2022-03-31,2.88,$-0.47,0.0
2021-12-31,4.1,$-0.80,0.0
2021-09-30,5.25,$2.65,1.98
2021-06-30,7.35,$3.23,2.28
2021-03-31,7.07,$2.81,2.52
2020-12-31,6.57,$-2.69,0.0
2020-09-30,5.16,$-6.45,0.0
2020-06-30,4.74,$-7.03,0.0
2020-03-31,1.73,$-6.60,0.0
2019-12-31,9.25,$-1.08,0.0
2019-09-30,7.13,$-5.98,0.0
2019-06-30,9.66,$-6.33,0.0
2019-03-31,7.36,$-7.06,0.0
2018-12-31,6.55,$-6.84,0.0
2018-09-30,15.07,$0.38,39.66
2018-06-30,18.19,$0.74,24.59
2018-03-31,23.03,$0.85,27.09
2017-12-31,26.41,$1.34,19.71
2017-09-30,27.68,$-0.51,0.0
2017-06-30,26.13,$-0.24,0.0
2017-03-31,23.93,$0.61,39.23
2016-12-31,18.03,$0.29,62.16
2016-09-30,17.2,$-0.84,0.0
2016-06-30,13.13,$-0.82,0.0
2016-03-31,12.79,$-0.53,0.0
2015-12-31,14.82,$-0.17,0.0
2015-09-30,17.13,$0.92,18.62
2015-06-30,23.55,$0.54,43.62
2015-03-31,23.09,$0.47,49.13
2014-12-31,18.88,$0.45,41.96
2014-09-30,24.45,$0.62,39.44
2014-06-30,23.35,$1.12,20.85
2014-03-31,17.93,$1.11,16.16
2013-12-31,18.31,$0.99,18.5
2013-09-30,14.07,$1.22,11.53
2013-06-30,10.27,$1.11,9.25
2013-03-31,8.47,$1.24,6.83
2012-12-31,8.2,$1.42,5.77
2012-09-30,7.6,$1.23,6.18
2012-06-30,9.14,$1.33,6.87
2012-03-31,7.3,$1.26,5.8
2011-12-31,5.37,$1.24,4.33
2011-09-30,4.52,$1.07,4.22
2011-06-30,13.39,$0.73,18.34
2011-03-31,16.34,$0.70,23.35
2010-12-31,11.06,$0.38,29.11
2010-09-30,7.38,$0.05,147.67
2010-06-30,4.47,$-0.44,0.0
2010-03-31,4.92,$-1.58,0.0
2009-12-31,3.54,$-2.18,0.0
