Addex Therapeutics PE Ratio Historical Data,Addex Therapeutics PE Ratio Historical Data,Addex Therapeutics PE Ratio Historical Data,Addex Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.66,,0.0
2024-09-30,9.77,$-0.34,0.0
2024-06-30,8.22,$-1.64,0.0
2024-03-31,12.8,$-17.25,0.0
2023-12-31,6.05,$-18.33,0.0
2023-09-30,7.69,$-19.27,0.0
2023-06-30,10.42,$-26.40,0.0
2023-03-31,18.92,$-45.00,0.0
2022-12-31,12.6,$-59.20,0.0
2022-09-30,16.0,$-70.80,0.0
2022-06-30,23.0,$-74.00,0.0
2022-03-31,101.6,$-65.80,0.0
2021-12-31,125.8,$-57.00,0.0
2021-09-30,180.2,$-51.00,0.0
2021-06-30,191.19,$-52.20,0.0
2021-03-31,210.0,$-51.80,0.0
2020-12-31,268.0,$-61.00,0.0
