Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.11,,54.75
2024-12-31,28.15,$0.55,51.18
2024-09-30,33.65,$0.74,45.47
2024-06-30,28.03,$1.03,27.21
2024-03-31,35.46,$1.10,32.23
2023-12-31,33.99,$1.15,29.56
2023-09-30,29.79,$0.87,34.24
2023-06-30,32.37,$0.96,33.72
2023-03-31,28.91,$1.71,16.91
2022-12-31,28.78,$2.53,11.38
2022-09-30,26.37,$3.06,8.62
2022-06-30,30.42,$3.28,9.27
2022-03-31,34.65,$3.59,9.65
2021-12-31,36.13,$3.47,10.41
2021-09-30,30.65,$3.31,9.26
2021-06-30,29.52,$3.05,9.68
2021-03-31,30.39,$1.78,17.07
2020-12-31,28.47,$1.07,26.61
2020-09-30,24.08,$0.66,36.48
2020-06-30,18.96,$0.41,46.25
2020-03-31,14.31,$0.48,29.81
2019-12-31,25.18,$-0.11,0.0
2019-09-30,22.83,$-0.21,0.0
2019-06-30,21.44,$0.00,0.0
2019-03-31,21.12,$0.25,84.5
2018-12-31,17.3,$0.99,17.47
2018-09-30,25.53,$1.47,17.37
2018-06-30,28.56,$1.30,21.97
2018-03-31,27.19,$0.91,29.88
2017-12-31,27.14,$0.77,35.25
2017-09-30,25.96,$1.14,22.77
2017-06-30,25.32,$1.27,19.94
2017-03-31,25.44,$1.45,17.55
2016-12-31,22.33,$1.35,16.54
2016-09-30,23.46,$0.73,32.14
2016-06-30,21.65,$0.78,27.76
2016-03-31,22.31,$0.83,26.88
2015-12-31,21.35,$0.89,23.99
2015-09-30,19.27,$1.09,17.67
2015-06-30,21.94,$2.89,7.59
2015-03-31,22.88,$3.10,7.38
2014-12-31,24.57,$3.24,7.58
2014-09-30,21.62,$3.00,7.21
2014-06-30,22.27,$1.12,19.88
2014-03-31,19.61,$1.00,19.61
2013-12-31,20.94,$0.95,22.04
2013-09-30,18.85,$1.14,16.54
2013-06-30,18.61,$1.09,17.08
2013-03-31,20.37,$0.90,22.63
2012-12-31,17.96,$0.72,24.94
2012-09-30,16.77,$0.58,28.91
2012-06-30,14.26,$0.65,21.93
2012-03-31,13.87,$0.51,27.2
2011-12-31,11.73,$0.75,15.64
2011-09-30,9.69,$0.95,10.2
2011-06-30,13.5,$4.16,3.25
2011-03-31,15.09,$4.21,3.59
2010-12-31,11.54,$3.85,3.0
2010-09-30,9.58,$3.19,3.0
2010-06-30,8.04,$-0.31,0.0
2010-03-31,10.33,$-0.59,0.0
2009-12-31,9.84,$-1.06,0.0
