Captivision PE Ratio Historical Data,Captivision PE Ratio Historical Data,Captivision PE Ratio Historical Data,Captivision PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.62,,inf
2024-06-30,2.67,0.0,0.0
2023-12-31,3.72,0.0,0.0
2023-06-30,10.58,0.0,0.0
2023-03-31,10.39,0.0,0.0
