Bankwell Financial PE Ratio Historical Data,Bankwell Financial PE Ratio Historical Data,Bankwell Financial PE Ratio Historical Data,Bankwell Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.0,,25.42
2024-12-31,31.15,$1.18,26.4
2024-09-30,29.76,$1.95,15.26
2024-06-30,25.01,$2.96,8.45
2024-03-31,25.36,$3.84,6.6
2023-12-31,29.29,$4.69,6.24
2023-09-30,23.37,$4.64,5.04
2023-06-30,23.31,$4.57,5.1
2023-03-31,23.55,$5.10,4.62
2022-12-31,27.7,$4.81,5.76
2022-09-30,27.22,$4.76,5.72
2022-06-30,28.86,$4.45,6.49
2022-03-31,31.26,$3.69,8.47
2021-12-31,30.17,$3.36,8.98
2021-09-30,26.65,$2.41,11.06
2021-06-30,25.11,$1.92,13.08
2021-03-31,24.36,$1.29,18.88
2020-12-31,17.55,$0.75,23.4
2020-09-30,12.6,$1.15,10.96
2020-06-30,14.03,$1.29,10.88
2020-03-31,13.34,$1.84,7.25
2019-12-31,25.08,$2.32,10.81
2019-09-30,23.81,$2.29,10.4
2019-06-30,24.72,$2.39,10.34
2019-03-31,25.02,$2.28,10.97
2018-12-31,24.51,$2.22,11.04
2018-09-30,26.67,$2.08,12.82
2018-06-30,27.23,$2.01,13.55
2018-03-31,27.24,$1.90,14.34
2017-12-31,28.87,$1.79,16.13
2017-09-30,30.99,$1.95,15.89
2017-06-30,26.14,$1.81,14.44
2017-03-31,28.73,$1.70,16.9
2016-12-31,27.09,$1.62,16.72
2016-09-30,19.7,$1.55,12.71
2016-06-30,18.3,$1.45,12.62
2016-03-31,16.2,$1.38,11.74
2015-12-31,16.39,$1.24,13.22
2015-09-30,15.05,$0.98,15.36
2015-06-30,14.68,$0.89,16.49
2015-03-31,15.86,$0.81,19.58
2014-12-31,17.29,$0.55,31.44
2014-09-30,15.62,$0.79,19.77
2014-06-30,14.0,$0.57,24.56
2014-03-31,18.12,$0.34,53.28
2013-12-31,17.21,$0.34,50.62
2013-09-30,17.29,0,0.0
2013-06-30,16.47,0,0.0
2013-03-31,18.12,0,0.0
2012-12-31,11.12,0,0.0
2011-06-30,11.36,0,0.0
2011-03-31,11.57,0,0.0
