Selective Insurance PE Ratio Historical Data,Selective Insurance PE Ratio Historical Data,Selective Insurance PE Ratio Historical Data,Selective Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,89.1,,27.67
2024-12-31,93.52,$3.22,29.04
2024-09-30,92.94,$3.71,25.05
2024-06-30,93.1,$3.66,25.44
2024-03-31,107.93,$5.66,19.07
2023-12-31,98.02,$5.83,16.81
2023-09-30,101.32,$5.20,19.48
2023-06-30,93.94,$4.44,21.16
2023-03-31,93.07,$4.13,22.53
2022-12-31,86.25,$3.54,24.36
2022-09-30,78.98,$3.75,21.06
2022-06-30,84.06,$4.27,19.69
2022-03-31,86.09,$5.64,15.26
2021-12-31,78.65,$6.52,12.06
2021-09-30,72.24,$7.03,10.28
2021-06-30,77.39,$7.01,11.04
2021-03-31,68.95,$5.60,12.31
2020-12-31,63.43,$4.08,15.55
2020-09-30,48.56,$3.34,14.54
2020-06-30,49.53,$3.11,15.93
2020-03-31,46.45,$3.75,12.39
2019-12-31,60.72,$4.52,13.43
2019-09-30,69.8,$3.92,17.81
2019-06-30,69.35,$3.92,17.69
2019-03-31,58.43,$3.70,15.79
2018-12-31,56.1,$3.00,18.7
2018-09-30,58.27,$2.75,21.19
2018-06-30,50.32,$2.61,19.28
2018-03-31,55.36,$2.32,23.86
2017-12-31,53.37,$2.85,18.73
2017-09-30,48.81,$3.01,16.22
2017-06-30,45.22,$2.88,15.7
2017-03-31,42.46,$2.92,14.54
2016-12-31,38.63,$2.70,14.31
2016-09-30,35.62,$2.81,12.67
2016-06-30,34.01,$2.96,11.49
2016-03-31,32.45,$2.80,11.59
2015-12-31,29.63,$2.86,10.36
2015-09-30,27.29,$2.80,9.75
2015-06-30,24.54,$2.92,8.4
2015-03-31,25.28,$2.85,8.87
2014-12-31,23.53,$2.47,9.52
2014-09-30,19.07,$2.19,8.71
2014-06-30,21.18,$1.83,11.57
2014-03-31,19.87,$1.80,11.04
2013-12-31,22.92,$1.87,12.26
2013-09-30,20.65,$1.45,14.24
2013-06-30,19.3,$1.21,15.95
2013-03-31,20.02,$0.74,27.05
2012-12-31,15.97,$0.69,23.15
2012-09-30,15.63,$0.96,16.28
2012-06-30,14.22,$0.26,54.68
2012-03-31,14.27,$0.29,49.22
2011-12-31,14.27,$0.35,40.77
2011-09-30,10.42,$0.49,21.26
2011-06-30,12.88,$1.18,10.91
2011-03-31,13.59,$1.49,9.12
2010-12-31,14.16,$1.21,11.7
2010-09-30,12.61,$1.16,10.87
2010-06-30,11.4,$1.08,10.56
2010-03-31,12.64,$1.02,12.39
2009-12-31,12.42,$0.66,18.82
