Gaotu Techedu PE Ratio Historical Data,Gaotu Techedu PE Ratio Historical Data,Gaotu Techedu PE Ratio Historical Data,Gaotu Techedu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.6,,0.0
2024-09-30,3.92,$-0.57,0.0
2024-06-30,4.9,$-0.34,0.0
2024-03-31,6.55,$-0.08,0.0
2023-12-31,3.62,$-0.01,0.0
2023-09-30,2.76,$0.10,27.6
2023-06-30,2.89,$0.10,28.9
2023-03-31,4.22,$0.04,105.5
2022-12-31,2.36,$0.01,236.0
2022-09-30,1.21,$0.14,8.64
2022-06-30,1.96,$-0.46,0.0
2022-03-31,1.72,$-0.98,0.0
