Ethan Allen Interiors PE Ratio Historical Data,Ethan Allen Interiors PE Ratio Historical Data,Ethan Allen Interiors PE Ratio Historical Data,Ethan Allen Interiors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.43,,11.53
2024-12-31,28.11,$2.38,11.81
2024-09-30,31.46,$2.47,12.74
2024-06-30,26.81,$2.48,10.81
2024-03-31,32.79,$2.75,11.92
2023-12-31,29.91,$3.12,9.59
2023-09-30,27.64,$3.54,7.81
2023-06-30,25.48,$4.13,6.17
2023-03-31,24.42,$4.37,5.59
2022-12-31,23.25,$4.47,5.2
2022-09-30,18.38,$4.42,4.16
2022-06-30,17.03,$4.04,4.22
2022-03-31,21.69,$3.52,6.16
2021-12-31,21.62,$3.16,6.84
2021-09-30,19.27,$2.78,6.93
2021-06-30,21.58,$2.36,9.14
2021-03-31,20.73,$1.17,17.72
2020-12-31,15.0,$0.55,27.28
2020-09-30,9.91,$0.15,66.09
2020-06-30,8.66,$0.31,27.94
2020-03-31,7.32,$0.67,10.93
2019-12-31,13.5,$0.98,13.78
2019-09-30,13.38,$1.16,11.53
2019-06-30,14.61,$0.96,15.22
2019-03-31,13.15,$1.50,8.77
2018-12-31,11.37,$1.29,8.81
2018-09-30,13.28,$1.38,9.62
2018-06-30,15.56,$1.32,11.79
2018-03-31,14.46,$1.32,10.95
2017-12-31,17.7,$1.31,13.51
2017-09-30,19.93,$1.15,17.33
2017-06-30,19.86,$1.29,15.4
2017-03-31,18.73,$1.47,12.74
2016-12-31,22.4,$1.75,12.8
2016-09-30,18.9,$1.95,9.69
2016-06-30,19.87,$2.00,9.93
2016-03-31,19.03,$1.84,10.34
2015-12-31,16.55,$1.57,10.54
2015-09-30,15.63,$1.33,11.75
2015-06-30,15.5,$1.28,12.11
2015-03-31,16.2,$1.42,11.41
2014-12-31,18.08,$1.51,11.97
2014-09-30,13.24,$1.56,8.49
2014-06-30,14.31,$1.46,9.8
2014-03-31,14.66,$1.16,12.64
2013-12-31,17.47,$1.13,15.46
2013-09-30,15.94,$1.08,14.76
2013-06-30,16.42,$1.12,14.66
2013-03-31,18.72,$1.09,17.17
2012-12-31,14.62,$1.88,7.78
2012-09-30,11.99,$1.82,6.59
2012-06-30,10.86,$1.70,6.39
2012-03-31,13.76,$1.70,8.09
2011-12-31,12.84,$0.88,14.6
2011-09-30,7.34,$1.11,6.61
2011-06-30,11.44,$1.01,11.33
2011-03-31,11.74,$-0.15,0.0
2010-12-31,10.7,$-0.30,0.0
2010-09-30,9.31,$-0.93,0.0
2010-06-30,7.44,$-1.53,0.0
2010-03-31,10.94,$-1.20,0.0
2009-12-31,7.09,$-2.86,0.0
