Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,325.4,,11.55
2024-12-31,348.6,$28.17,12.37
2024-09-30,322.22,$15.14,21.28
2024-06-30,273.97,$13.87,19.75
2024-03-31,289.79,$13.66,21.21
2023-12-31,234.12,$5.18,45.2
2023-09-30,221.6,$19.62,11.29
2023-06-30,236.09,$17.85,13.23
2023-03-31,228.37,$17.74,12.87
2022-12-31,230.17,$15.11,15.23
2022-09-30,192.11,$13.41,14.33
2022-06-30,181.46,$14.28,12.71
2022-03-31,190.94,$13.44,14.21
2021-12-31,201.73,$14.59,13.83
2021-09-30,206.36,$15.22,13.56
2021-06-30,222.65,$14.89,14.95
2021-03-31,235.38,$12.65,18.61
2020-12-31,205.16,$11.99,17.11
2020-09-30,189.66,$10.60,17.89
2020-06-30,154.65,$11.21,13.8
2020-03-31,119.79,$13.62,8.79
2019-12-31,157.18,$14.41,10.91
2019-09-30,141.85,$16.07,8.83
2019-06-30,148.08,$16.38,9.04
2019-03-31,135.47,$15.43,8.78
2018-12-31,113.83,$13.19,8.63
2018-09-30,123.46,$7.91,15.61
2018-06-30,111.54,$6.34,17.59
2018-03-31,134.93,$5.55,24.31
2017-12-31,146.1,$5.95,24.56
2017-09-30,138.09,$9.85,14.02
2017-06-30,132.39,$8.86,14.94
2017-03-31,122.57,$8.73,14.04
2016-12-31,110.05,$8.24,13.36
2016-09-30,102.42,$6.91,14.82
2016-06-30,89.14,$7.33,12.16
2016-03-31,86.4,$7.55,11.44
2015-12-31,68.48,$7.82,8.76
2015-09-30,83.65,$9.34,8.96
2015-06-30,100.31,$9.52,10.54
2015-03-31,105.42,$9.33,11.3
2014-12-31,109.01,$9.02,12.09
2014-09-30,99.26,$8.90,11.15
2014-06-30,115.43,$8.48,13.61
2014-03-31,111.0,$8.25,13.45
2013-12-31,104.55,$7.91,13.22
2013-09-30,98.07,$7.61,12.89
2013-06-30,79.65,$7.57,10.52
2013-03-31,84.69,$7.84,10.8
2012-12-31,78.89,$8.73,9.04
2012-09-30,66.8,$9.57,6.98
2012-06-30,69.86,$10.06,6.94
2012-03-31,86.2,$10.19,8.46
2011-12-31,63.0,$9.56,6.59
2011-09-30,58.2,$8.54,6.82
2011-06-30,73.41,$7.63,9.62
2011-03-31,77.57,$6.28,12.35
2010-12-31,77.66,$5.28,14.71
2010-09-30,63.76,$4.80,13.28
2010-06-30,45.7,$3.84,11.9
2010-03-31,43.36,$2.87,15.11
2009-12-31,32.0,$2.16,14.81
