Lexaria Bioscience PE Ratio Historical Data,Lexaria Bioscience PE Ratio Historical Data,Lexaria Bioscience PE Ratio Historical Data,Lexaria Bioscience PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.58,,0.0
2024-11-30,2.08,$-0.50,0.0
2024-08-31,3.91,$-0.47,0.0
2024-05-31,3.89,$-0.44,0.0
2024-02-29,3.45,$-0.68,0.0
2023-11-30,1.5,$-0.84,0.0
2023-08-31,1.05,$-1.01,0.0
2023-05-31,0.74,$-1.13,0.0
2023-02-28,3.03,$-1.17,0.0
2022-11-30,2.96,$-1.20,0.0
2022-08-31,2.96,$-1.25,0.0
2022-05-31,2.05,$-1.01,0.0
2022-02-28,3.55,$-1.10,0.0
2021-11-30,5.3,$-0.76,0.0
