Mesa Air PE Ratio Historical Data,Mesa Air PE Ratio Historical Data,Mesa Air PE Ratio Historical Data,Mesa Air PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.94,,0.0
2024-06-30,1.71,$-2.30,0.0
2024-03-31,0.88,$-2.99,0.0
2023-12-31,1.01,$-4.15,0.0
2023-09-30,0.86,$-2.99,0.0
2023-06-30,2.55,$-5.48,0.0
2023-03-31,2.37,$-4.59,0.0
2022-12-31,1.53,$-4.90,0.0
2022-09-30,1.65,$-5.05,0.0
2022-06-30,2.19,$-2.08,0.0
2022-03-31,4.4,$-1.69,0.0
2021-12-31,5.6,$-0.36,0.0
2021-09-30,7.66,$0.43,17.81
2021-06-30,9.33,$0.96,9.72
2021-03-31,13.45,$0.95,14.16
2020-12-31,6.69,$0.86,7.78
2020-09-30,2.95,$0.78,3.78
2020-06-30,3.44,$0.81,4.25
2020-03-31,3.29,$0.80,4.11
2019-12-31,8.94,$1.13,7.91
2019-09-30,6.75,$1.37,4.92
2019-06-30,9.14,$1.67,5.47
