Lockheed Martin PE Ratio Historical Data,Lockheed Martin PE Ratio Historical Data,Lockheed Martin PE Ratio Historical Data,Lockheed Martin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,466.74,,20.97
2024-12-31,485.94,$22.26,21.83
2024-09-30,580.88,$27.62,21.03
2024-06-30,461.59,$27.55,16.75
2024-03-31,449.51,$27.33,16.45
2023-12-31,444.63,$27.55,16.14
2023-09-30,398.38,$27.37,14.56
2023-06-30,445.49,$27.35,16.29
2023-03-31,454.37,$21.88,20.77
2022-12-31,464.66,$21.71,21.4
2022-09-30,366.69,$21.78,16.84
2022-06-30,405.44,$17.28,23.46
2022-03-31,413.6,$22.64,18.27
2021-12-31,330.89,$22.76,14.54
2021-09-30,318.61,$21.67,14.7
2021-06-30,346.81,$25.51,13.59
2021-03-31,336.4,$24.78,13.58
2020-12-31,320.66,$24.30,13.2
2020-09-30,343.78,$23.21,14.81
2020-06-30,325.31,$22.82,14.26
2020-03-31,300.3,$22.03,13.63
2019-12-31,342.76,$21.94,15.62
2019-09-30,341.26,$21.04,16.22
2019-06-30,316.25,$20.52,15.41
2019-03-31,259.43,$19.57,13.26
2018-12-31,224.71,$17.60,12.77
2018-09-30,294.74,$10.96,26.89
2018-06-30,250.13,$9.06,27.61
2018-03-31,284.31,$8.24,34.5
2017-12-31,268.58,$6.83,39.32
2017-09-30,257.96,$12.43,20.75
2017-06-30,229.43,$17.12,13.4
2017-03-31,219.73,$17.21,12.77
2016-12-31,203.85,$17.18,11.87
2016-09-30,194.19,$16.84,11.53
2016-06-30,199.66,$11.68,17.09
2016-03-31,176.99,$11.30,15.66
2015-12-31,172.2,$11.46,15.03
2015-09-30,163.21,$11.27,14.48
2015-06-30,145.28,$11.26,12.9
2015-03-31,157.38,$11.08,14.2
2014-12-31,148.21,$11.21,13.22
2014-09-30,139.57,$9.89,14.11
2014-06-30,121.8,$9.79,12.44
2014-03-31,122.71,$9.67,12.69
2013-12-31,110.83,$9.13,12.14
2013-09-30,94.22,$9.36,10.07
2013-06-30,79.38,$8.91,8.91
2013-03-31,69.89,$8.65,8.08
2012-12-31,65.97,$8.35,7.9
2012-09-30,65.93,$8.71,7.57
2012-06-30,60.81,$8.60,7.07
2012-03-31,62.01,$8.36,7.42
2011-12-31,55.2,$7.83,7.05
2011-09-30,48.92,$8.47,5.78
2011-06-30,53.99,$7.94,6.8
2011-03-31,53.09,$8.02,6.62
2010-12-31,45.74,$7.97,5.74
2010-09-30,46.13,$7.41,6.22
2010-06-30,47.78,$7.91,6.04
2010-03-31,52.96,$7.57,7.0
2009-12-31,47.56,$7.80,6.1
