Kaiser Aluminum PE Ratio Historical Data,Kaiser Aluminum PE Ratio Historical Data,Kaiser Aluminum PE Ratio Historical Data,Kaiser Aluminum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,69.14,,24.09
2024-12-31,70.27,$2.87,24.48
2024-09-30,71.71,$2.89,24.81
2024-06-30,86.07,$2.49,34.57
2024-03-31,86.74,$3.44,25.21
2023-12-31,68.3,$2.92,23.39
2023-09-30,71.35,$0.81,88.09
2023-06-30,67.27,$0.63,106.77
2023-03-31,69.2,$-1.38,0.0
2022-12-31,69.8,$-1.86,0.0
2022-09-30,55.82,$-0.09,0.0
2022-06-30,71.19,$-0.39,0.0
2022-03-31,84.09,$-0.93,0.0
2021-12-31,83.24,$-1.16,0.0
2021-09-30,95.86,$-0.90,0.0
2021-06-30,107.94,$-0.74,0.0
2021-03-31,95.96,$0.26,369.07
2020-12-31,85.27,$1.79,47.64
2020-09-30,45.73,$0.76,60.17
2020-06-30,62.21,$2.31,26.93
2020-03-31,58.0,$3.90,14.87
2019-12-31,92.23,$3.80,24.27
2019-09-30,81.83,$5.85,13.99
2019-06-30,80.2,$5.57,14.4
2019-03-31,85.54,$5.61,15.25
2018-12-31,72.47,$5.41,13.4
2018-09-30,88.0,$3.12,28.21
2018-06-30,83.6,$2.99,27.96
2018-03-31,80.58,$2.04,39.5
2017-12-31,84.92,$2.57,33.04
2017-09-30,81.56,$4.84,16.85
2017-06-30,69.64,$4.50,15.48
2017-03-31,62.49,$5.66,11.04
2016-12-31,60.38,$5.06,11.93
2016-09-30,66.8,$4.42,15.11
2016-06-30,69.45,$4.81,14.44
2016-03-31,64.61,$4.49,14.39
2015-12-31,63.55,$-13.80,0.0
2015-09-30,60.66,$-13.68,0.0
2015-06-30,62.51,$-14.04,0.0
2015-03-31,57.56,$-13.82,0.0
2014-12-31,53.17,$3.88,13.7
2014-09-30,56.46,$4.47,12.63
2014-06-30,53.71,$4.96,10.83
2014-03-31,52.39,$4.61,11.37
2013-12-31,51.27,$5.49,9.34
2013-09-30,51.77,$4.52,11.45
2013-06-30,44.8,$4.69,9.55
2013-03-31,46.53,$4.80,9.69
2012-12-31,44.18,$4.45,9.93
2012-09-30,41.64,$4.32,9.64
2012-06-30,36.78,$3.04,12.1
2012-03-31,33.36,$2.19,15.23
2011-12-31,32.22,$1.40,23.01
2011-09-30,30.93,$1.04,29.74
2011-06-30,37.99,$1.10,34.54
2011-03-31,34.09,$0.87,39.18
2010-12-31,34.49,$0.72,47.9
2010-09-30,29.31,$1.92,15.27
2010-06-30,23.61,$2.77,8.52
2010-03-31,26.11,$3.73,7.0
2009-12-31,28.0,$3.48,8.04
