Y-mAbs Therapeutics PE Ratio Historical Data,Y-mAbs Therapeutics PE Ratio Historical Data,Y-mAbs Therapeutics PE Ratio Historical Data,Y-mAbs Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.92,,0.0
2024-12-31,7.83,$-0.67,0.0
2024-09-30,13.15,$-0.54,0.0
2024-06-30,12.08,$-0.56,0.0
2024-03-31,16.26,$-0.49,0.0
2023-12-31,6.82,$-0.49,0.0
2023-09-30,5.45,$-0.44,0.0
2023-06-30,6.79,$-0.89,0.0
2023-03-31,5.01,$-1.69,0.0
2022-12-31,4.88,$-2.18,0.0
2022-09-30,14.42,$-3.06,0.0
2022-06-30,15.13,$-3.09,0.0
2022-03-31,11.88,$-2.68,0.0
2021-12-31,16.21,$-1.29,0.0
2021-09-30,28.54,$-0.93,0.0
2021-06-30,33.8,$-1.09,0.0
2021-03-31,30.24,$-1.57,0.0
2020-12-31,49.51,$-2.98,0.0
2020-09-30,38.39,$-3.09,0.0
2020-06-30,43.2,$-2.97,0.0
2020-03-31,26.1,$-2.49,0.0
2019-12-31,31.25,$-2.30,0.0
2019-09-30,26.06,$-2.12,0.0
2019-06-30,22.87,$-1.84,0.0
