Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,267.84,,38.1
2024-12-31,224.68,$7.03,31.96
2024-09-30,224.57,$7.51,29.9
2024-06-30,224.3,$9.21,24.35
2024-03-31,241.37,$9.14,26.41
2023-12-31,203.56,$9.18,22.17
2023-09-30,177.91,$8.53,20.86
2023-06-30,189.74,$8.21,23.11
2023-03-31,157.43,$7.78,20.23
2022-12-31,162.42,$8.24,19.71
2022-09-30,132.23,$8.04,16.45
2022-06-30,137.82,$8.72,15.81
2022-03-31,150.26,$8.20,18.32
2021-12-31,128.64,$7.71,16.69
2021-09-30,115.21,$7.39,15.59
2021-06-30,110.02,$-18.43,0.0
2021-03-31,113.03,$-18.42,0.0
2020-12-31,93.2,$-15.88,0.0
2020-09-30,92.02,$-16.79,0.0
2020-06-30,95.29,$7.58,12.57
2020-03-31,83.28,$7.60,10.96
2019-12-31,79.65,$3.09,25.78
2019-09-30,76.78,$4.03,19.05
2019-06-30,79.15,$4.47,17.71
2019-03-31,73.44,$4.29,17.12
2018-12-31,68.4,$5.45,12.55
2018-09-30,84.4,$7.51,11.24
2018-06-30,77.7,$5.09,15.27
2018-03-31,78.21,$4.07,19.22
2017-12-31,82.98,$4.64,17.88
2017-09-30,74.43,$1.85,40.23
2017-06-30,84.64,$3.84,22.04
2017-03-31,78.9,$5.17,15.26
2016-12-31,69.43,$5.99,11.59
2016-09-30,71.41,$6.34,11.26
2016-06-30,69.85,$7.26,9.62
2016-03-31,75.87,$6.59,11.51
2015-12-31,90.56,$1.58,57.32
2015-09-30,82.66,$-0.79,0.0
2015-06-30,92.27,$-2.06,0.0
2015-03-31,98.39,$-3.01,0.0
2014-12-31,77.81,$0.08,972.63
2014-09-30,66.5,$1.16,57.32
2014-06-30,62.31,$1.09,57.17
2014-03-31,56.05,$1.86,30.14
2013-12-31,59.88,$1.29,46.42
2013-09-30,51.86,$1.83,28.34
2013-06-30,47.04,$2.27,20.72
2013-03-31,43.18,$2.27,19.02
2012-12-31,36.08,$2.89,12.48
2012-09-30,32.18,$2.80,11.49
2012-06-30,32.6,$2.68,12.16
2012-03-31,32.74,$2.63,12.45
2011-12-31,30.59,$2.59,11.81
2011-09-30,30.55,$2.54,12.03
2011-06-30,33.83,$2.50,13.53
2011-03-31,32.24,$2.41,13.38
2010-12-31,27.73,$2.27,12.22
2010-09-30,24.84,$2.22,11.19
2010-06-30,25.65,$2.16,11.88
2010-03-31,23.3,$1.99,11.71
2009-12-31,20.94,$1.83,11.45
