X4 Pharmaceuticals PE Ratio Historical Data,X4 Pharmaceuticals PE Ratio Historical Data,X4 Pharmaceuticals PE Ratio Historical Data,X4 Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.3,,0.0
2024-09-30,0.67,$-0.09,0.0
2024-06-30,0.58,$0.08,7.25
2024-03-31,1.39,$-0.70,0.0
2023-12-31,0.84,$-0.60,0.0
2023-09-30,1.09,$-0.79,0.0
2023-06-30,1.94,$-1.04,0.0
2023-03-31,0.87,$-1.31,0.0
2022-12-31,0.99,$-1.87,0.0
2022-09-30,1.71,$-2.82,0.0
2022-06-30,0.97,$-3.32,0.0
2022-03-31,1.75,$-3.46,0.0
2021-12-31,2.29,$-4.04,0.0
2021-09-30,5.29,$-3.71,0.0
2021-06-30,6.5,$-3.82,0.0
2021-03-31,8.61,$-3.84,0.0
2020-12-31,6.43,$-3.10,0.0
2020-09-30,6.77,$-2.85,0.0
2020-06-30,9.32,$-3.20,0.0
2020-03-31,10.0,$-3.46,0.0
2019-12-31,10.7,$-9.57,0.0
